date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,BOOM SECURITIES (H.K.) LTD,HEAD & SHOULDERS SECURITIES LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,13405490.0,6601950.0,0.0,6063400.0,0.0,0.0,0.0,2874000.0,62764800.0,39086543.0
2024-03-04,13386690.0,6601750.0,4023400.0,6040200.0,0.0,0.0,0.0,2914400.0,62861800.0,39071943.0
2024-03-05,0.0,6604550.0,4019200.0,0.0,0.0,1017600.0,0.0,0.0,62683000.0,39182743.0
2024-03-06,13395690.0,6607350.0,4031200.0,0.0,0.0,0.0,0.0,2920600.0,62663800.0,39179743.0
2024-03-07,13381690.0,6605750.0,0.0,5965200.0,0.0,0.0,0.0,3045600.0,62595600.0,39178143.0
2024-03-08,13375690.0,6607150.0,0.0,5930200.0,1997600.0,1014400.0,0.0,0.0,62659200.0,39154251.0
2024-03-11,13367290.0,6606950.0,0.0,5935200.0,2007600.0,0.0,0.0,0.0,62596800.0,39057251.0
2024-03-14,13341290.0,6613350.0,0.0,5925400.0,0.0,0.0,0.0,0.0,62563400.0,38787309.0
2024-03-15,13351290.0,6624750.0,4042000.0,5921000.0,0.0,0.0,0.0,0.0,62480400.0,38762309.0
2024-03-18,13349890.0,6686350.0,0.0,0.0,2002600.0,1010800.0,0.0,3045400.0,62239800.0,38716109.0
2024-03-20,13360090.0,6712550.0,4034800.0,0.0,0.0,0.0,0.0,0.0,62242800.0,38766111.0
2024-03-21,13368690.0,6747950.0,0.0,5923800.0,0.0,0.0,0.0,3025400.0,61859200.0,38766713.0
2024-03-27,13320890.0,0.0,4024800.0,5911800.0,0.0,0.0,0.0,0.0,55817600.0,38706186.0
2024-03-28,13336690.0,6757550.0,4022800.0,0.0,0.0,0.0,0.0,0.0,55834600.0,38703586.0
