date,CMB INTERNATIONAL SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,0.0,0.0,0.0,69.7609327976854,0.0,9.329710002022845,0.0,20.909357200291765,0.0
2024-03-04,0.0,77.8789738611985,0.0,15.416645513189605,0.0,2.07025053475007,0.0,4.634130090861827,0.0
2024-03-05,0.0,77.86327337655281,0.0,15.413537500921759,0.0,2.1065245651939892,0.0,4.616664557331447,0.0
2024-03-06,0.0,58.33659646500763,24.983305663660868,11.650211003806769,0.0,1.5836845034965246,0.0,3.4462023640282116,0.0
2024-03-07,0.0,56.50223818678995,24.19772103345591,11.390379172349068,0.0,1.5482233109884107,0.0,3.2980467517803578,3.0633915446362976
2024-03-08,0.0,56.49132927180543,24.193049167525558,11.349565927618539,0.0,1.6114036326132821,0.0,3.2918519063167997,3.0628000941204028
2024-03-11,0.0,56.49099876438167,24.199343269440917,11.344526527242381,0.0,1.6178298504052862,0.0,3.284519413587058,3.062782174942688
2024-03-12,0.0,56.494469285225705,24.20902127920751,11.345223477493565,0.0,1.6027167815518848,0.0,3.2873541236150543,3.061215052906285
2024-03-13,0.0,56.52655046438383,24.22276871251784,11.286098212317446,0.0,1.5851859602795257,0.0,3.3164432435615496,3.0629534069398106
2024-03-14,0.0,56.486206841291065,24.205480655079825,11.278043199430137,0.0,1.6434330140123596,0.0,3.3067636482967573,3.080072641889859
2024-03-15,48.35746095682304,29.089991268905273,12.465648877686856,5.8608345406021725,0.0,0.8853713840427,0.0,1.749657251615756,1.5910357203242027
2024-03-18,48.35957354199519,29.091262119007755,12.46619346262699,5.8607892933803125,0.0,0.8855607074424879,0.0,1.7455156478832536,1.5911052276640136
2024-03-19,48.34901246157519,29.084908978641632,12.463471013646425,5.864178329652136,0.0,0.8983198944745647,0.0,1.7398630512630253,1.6002462707470257
2024-03-20,48.34675517390012,29.08355108107092,12.462889127107788,5.861796085307541,0.0,0.8981273499095884,0.0,1.741137261091727,1.6057439216123168
2024-03-21,48.347774568039966,29.084164309434048,12.463151907848626,5.856196594430657,0.0,0.8885074032923976,0.0,1.7544274381381668,1.6057777788161334
2024-03-22,48.29701622143555,29.064947520111183,12.454917125443883,5.880321724420057,0.0,0.9020680958869381,0.0,1.7922498187944262,1.608479493907964
2024-03-25,48.294031736698834,29.064510075847522,12.454729671740514,5.88023322217848,0.0,0.9017535076778634,0.0,1.7962865004951274,1.608455285361661
2024-03-26,48.29857136086776,29.06923517083658,12.456754470390429,5.881640778138803,0.0,0.8874492042023613,0.0,1.796578527586596,1.6097704879774661
2024-03-27,48.285547490712595,29.068009998693395,12.457433650619599,5.8896717012102435,0.0,0.8977979506068714,0.0,1.791836566683088,1.6097026414742057
2024-03-28,48.27711793274172,29.062935385519978,12.455258866143014,5.8886434985364655,0.0,0.9215703382180016,0.0,1.7850523548229202,1.6094216240178996
