date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,UBS SECURITIES HONG KONG LTD
2024-03-05,0.0,5222100.0,6655300.0,15600.0,23700.0,192000.0,0.0,0.0
2024-03-06,0.0,5185200.0,6656500.0,19500.0,17700.0,230400.0,0.0,0.0
2024-03-08,300.0,5141100.0,0.0,0.0,12000.0,230700.0,0.0,2550000.0
2024-03-11,49200.0,5141700.0,0.0,15300.0,8400.0,225300.0,0.0,0.0
2024-03-12,28800.0,5143800.0,6657400.0,18000.0,6000.0,228600.0,7928800.0,0.0
2024-03-15,12600.0,4974300.0,0.0,32100.0,5700.0,221400.0,0.0,0.0
2024-03-19,15000.0,4902300.0,6658300.0,34200.0,0.0,196800.0,0.0,0.0
2024-03-21,16500.0,4729800.0,0.0,33900.0,4800.0,193200.0,0.0,0.0
2024-03-27,138000.0,4669800.0,0.0,32100.0,4200.0,194400.0,0.0,0.0
2024-03-28,177300.0,4624800.0,0.0,29100.0,3600.0,193800.0,0.0,0.0
2024-04-02,196800.0,0.0,6650800.0,32700.0,3300.0,187500.0,0.0,0.0
2024-04-12,491700.0,0.0,6646900.0,26400.0,3000.0,168300.0,0.0,0.0
2024-04-18,572700.0,4253100.0,6646000.0,26700.0,0.0,170400.0,0.0,0.0
2024-04-19,549600.0,4241100.0,6646600.0,33900.0,0.0,171000.0,0.0,0.0
2024-05-22,1095300.0,3394200.0,6645360.0,33900.0,0.0,137700.0,0.0,0.0
2024-05-23,1118100.0,3334200.0,0.0,31800.0,0.0,154200.0,0.0,2550300.0
2024-05-28,1076100.0,3313200.0,6646860.0,37800.0,0.0,158700.0,0.0,2550600.0
2024-06-20,1803600.0,2619300.0,6647160.0,33600.0,0.0,155100.0,0.0,0.0
2024-06-21,2105700.0,2334300.0,6648060.0,33000.0,0.0,150000.0,0.0,0.0
2024-08-09,6685800.0,524700.0,6643560.0,19800.0,0.0,285600.0,0.0,0.0
2024-08-13,4954200.0,1491000.0,6657060.0,33900.0,0.0,390900.0,0.0,2550000.0
2024-08-14,4938000.0,1835100.0,6669060.0,21600.0,900.0,33000.0,0.0,0.0
2024-08-16,4878300.0,1827600.0,6642660.0,18300.0,0.0,18600.0,0.0,0.0
2024-08-21,4917600.0,15000.0,6645060.0,12253300.0,0.0,11400.0,0.0,0.0
2024-10-03,8332800.0,1500.0,20460.0,12276100.0,0.0,36893920.0,7928800.0,0.0
2024-10-07,0.0,88712470.0,24360.0,12296200.0,0.0,36895720.0,7929100.0,0.0
2024-10-10,17656800.0,0.0,79560.0,12389200.0,12883330.0,36985550.0,7929400.0,0.0
2024-10-15,19788000.0,0.0,71760.0,12425500.0,12933130.0,36981220.0,0.0,0.0
2024-10-16,43337150.0,88740970.0,146160.0,12687700.0,9259730.0,33283120.0,7977400.0,0.0
2024-10-17,51039050.0,88310970.0,264360.0,12809500.0,9247730.0,25723800.0,7977700.0,2577600.0
2024-10-18,38327100.0,87654270.0,205260.0,12840400.0,9207830.0,24474600.0,7983700.0,0.0
2024-10-21,39450900.0,87296970.0,174360.0,12866200.0,9203330.0,23809800.0,7993000.0,2550000.0
2024-10-22,40985400.0,86789570.0,176760.0,12922000.0,0.0,22248600.0,0.0,0.0
2024-10-23,41983200.0,86379970.0,203460.0,12928600.0,0.0,21345600.0,0.0,0.0
2024-10-24,41693100.0,0.0,277260.0,12988300.0,0.0,21334200.0,7990000.0,0.0
2024-10-25,56951450.0,0.0,244860.0,12786700.0,9209630.0,21330300.0,7990600.0,0.0
2024-10-28,63548150.0,0.0,607560.0,13126300.0,9203330.0,21697600.0,7997800.0,2556600.0
2024-10-29,68200530.0,84020470.0,497160.0,13291600.0,9205730.0,22144900.0,7997500.0,2550000.0
2024-10-30,67215900.0,83679970.0,474060.0,13253800.0,9203330.0,22077400.0,7999000.0,0.0
2024-10-31,70611600.0,0.0,497460.0,13312000.0,9206330.0,19113400.0,8004700.0,0.0
2024-11-01,71349000.0,0.0,508560.0,13312300.0,9233930.0,19000600.0,8014600.0,0.0
2024-11-04,70681200.0,0.0,522660.0,13345000.0,9239030.0,19075900.0,0.0,0.0
2024-11-05,70139100.0,0.0,506760.0,13350700.0,9239630.0,19064200.0,8015200.0,0.0
2024-11-06,69589800.0,0.0,542760.0,13432600.0,0.0,19105300.0,8022100.0,0.0
2024-11-07,69555900.0,82937770.0,557760.0,13448800.0,9262730.0,19157800.0,0.0,0.0
2024-11-08,69968100.0,82887670.0,578460.0,13481200.0,9203330.0,18873100.0,8008300.0,2559700.0
2024-11-11,70002600.0,81984570.0,642060.0,13529500.0,0.0,18921400.0,8005000.0,2559100.0
2024-11-12,70284000.0,81366270.0,687360.0,13696600.0,9210530.0,18966100.0,8004700.0,0.0
2024-11-13,70099200.0,81335070.0,707100.0,13820200.0,9219830.0,18981400.0,8008600.0,2550000.0
2024-11-14,70524300.0,0.0,755100.0,13929400.0,9230330.0,18679600.0,8030500.0,0.0
2024-11-15,72015600.0,0.0,699000.0,13955200.0,9203330.0,18237700.0,0.0,0.0
2024-11-18,73372800.0,0.0,748700.0,14037100.0,0.0,17883080.0,8070100.0,0.0
2024-11-19,73316100.0,0.0,867800.0,14063500.0,0.0,17873780.0,8097100.0,0.0
