date,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,CMB WING LUNG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,ICBC INTERNATIONAL SECURITIES LTD,UBS SECURITIES HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,596626632.0,66262619.0,158140453.0,140361758.0,24983475.0,37361871.0,0.0,107796.0,0.0
2024-03-04,596835132.0,65435919.0,158141453.0,139845758.0,24968475.0,37455871.0,100000000.0,136796.0,0.0
2024-03-05,596601500.0,65201751.0,158143953.0,139977758.0,24906475.0,37096871.0,0.0,0.0,0.0
2024-03-06,596595500.0,66258336.0,158147453.0,139492758.0,24939975.0,37358371.0,0.0,190296.0,0.0
2024-03-07,596604500.0,66157336.0,158148953.0,139316258.0,24955475.0,38053871.0,0.0,169796.0,0.0
2024-03-08,596619000.0,66115836.0,158138453.0,139309258.0,24951975.0,37958371.0,0.0,161296.0,0.0
2024-03-11,596639500.0,66083836.0,0.0,139859258.0,24946975.0,37963371.0,0.0,0.0,0.0
2024-03-12,596649500.0,66475393.0,158133953.0,139292258.0,25037475.0,37996871.0,0.0,164796.0,0.0
2024-03-13,596683500.0,66204393.0,157987431.0,139482758.0,25084475.0,37594371.0,0.0,214296.0,0.0
2024-03-14,596735000.0,66281893.0,157680431.0,138549902.0,25176475.0,36070371.0,0.0,382296.0,51000.0
2024-03-15,596722000.0,66327393.0,157587931.0,138797902.0,25105975.0,35911981.0,0.0,176296.0,71000.0
2024-03-18,596697500.0,66421393.0,157589431.0,138702902.0,25078475.0,35859481.0,0.0,120796.0,91000.0
2024-03-19,596690500.0,66547893.0,0.0,138657402.0,25068475.0,0.0,0.0,122296.0,71000.0
2024-03-20,596832250.0,66497893.0,0.0,138588402.0,25071475.0,35349481.0,0.0,212796.0,41000.0
2024-03-21,596591750.0,66548893.0,157593931.0,138543402.0,25095475.0,35532981.0,0.0,218296.0,21000.0
2024-03-22,596626750.0,66204325.0,157509431.0,140005902.0,25206975.0,35158981.0,0.0,216296.0,0.0
2024-03-25,596602750.0,66773072.0,157413931.0,139737902.0,25139975.0,35297981.0,0.0,242296.0,0.0
2024-03-26,596618700.0,66554272.0,157415931.0,139382902.0,25184975.0,35297031.0,0.0,113296.0,0.0
2024-03-27,596664118.0,66595772.0,0.0,139504902.0,25179475.0,35654981.0,0.0,138796.0,0.0
2024-03-28,596591118.0,66562272.0,157405931.0,139537402.0,25180975.0,35438481.0,0.0,118796.0,0.0
2024-04-02,596655618.0,66546772.0,0.0,139575902.0,25249475.0,35599481.0,0.0,64296.0,0.0
2024-04-03,596664118.0,66566272.0,157365931.0,140148402.0,24962975.0,35624481.0,0.0,91796.0,0.0
2024-04-05,596872303.0,66185587.0,157361431.0,139965902.0,24771975.0,35699481.0,0.0,86296.0,0.0
2024-04-08,596667803.0,66338536.0,157461431.0,140095402.0,24639975.0,35765981.0,0.0,100296.0,0.0
2024-04-09,596602303.0,66304536.0,157411431.0,0.0,24637475.0,35996981.0,0.0,105796.0,0.0
2024-04-10,596727303.0,66340036.0,157221431.0,140103797.0,24595623.0,35932981.0,0.0,149796.0,0.0
2024-04-11,596671000.0,67004299.0,157167431.0,140495297.0,24531123.0,35188021.0,0.0,162296.0,0.0
2024-04-12,596588000.0,67075370.0,157022931.0,140747797.0,24621123.0,35433720.0,0.0,49097.0,0.0
2024-04-15,0.0,66718570.0,156516931.0,141467728.0,24516123.0,35176720.0,0.0,111097.0,0.0
2024-04-16,596590500.0,65852649.0,156437931.0,141642228.0,24601623.0,35962720.0,0.0,136597.0,0.0
2024-04-17,596711500.0,65784949.0,156456431.0,141964228.0,24605123.0,35646220.0,0.0,92097.0,0.0
2024-04-18,597059500.0,65310824.0,0.0,141673228.0,24636123.0,35209220.0,0.0,222597.0,0.0
2024-04-19,596854000.0,64636824.0,156470431.0,142525228.0,24738623.0,35195720.0,0.0,112097.0,0.0
2024-04-22,596809000.0,65083724.0,156473931.0,143052728.0,24758623.0,35098720.0,0.0,154097.0,0.0
2024-04-23,596944000.0,64733224.0,156474431.0,142393228.0,24695623.0,35405720.0,0.0,163597.0,0.0
2024-04-24,596847500.0,64489724.0,156454431.0,142861728.0,24606123.0,35627220.0,0.0,158097.0,0.0
2024-04-25,596863000.0,64510724.0,156455431.0,142786728.0,0.0,35632220.0,0.0,139097.0,0.0
2024-04-26,596722221.0,64194724.0,156405431.0,142962651.0,24634123.0,35806499.0,0.0,0.0,0.0
2024-04-29,596756221.0,64517982.0,156394931.0,142743651.0,24626123.0,35968999.0,0.0,154097.0,0.0
2024-04-30,626761803.0,65030204.0,126289431.0,140746151.0,25220123.0,36441467.0,0.0,139310.0,26000.0
2024-05-02,626698303.0,65026704.0,126110931.0,141018151.0,25145623.0,36596269.0,0.0,127508.0,0.0
2024-05-03,626673803.0,65026204.0,126109931.0,140930651.0,24818623.0,35942710.0,0.0,127567.0,0.0
2024-05-06,626637803.0,58448073.0,126008931.0,0.0,24698887.0,36103985.0,0.0,127724.0,0.0
2024-05-07,626619803.0,58457573.0,126005931.0,0.0,24366887.0,36155985.0,0.0,128224.0,21000.0
2024-05-08,626599803.0,58552573.0,126037931.0,140266651.0,24378387.0,36264985.0,0.0,0.0,0.0
2024-05-09,626634303.0,58634573.0,0.0,140054651.0,24340387.0,34711844.0,0.0,128365.0,0.0
2024-05-10,626679803.0,58370373.0,126047931.0,140170651.0,24279387.0,34867344.0,0.0,142365.0,0.0
2024-05-13,626696303.0,66036035.0,125893931.0,138774013.0,24189187.0,35520380.0,0.0,132397.0,0.0
2024-05-14,626590500.0,65815838.0,125716431.0,139539013.0,24228687.0,35775962.0,0.0,225815.0,0.0
2024-05-16,656934803.0,61006980.0,95666431.0,140713513.0,24292187.0,35853571.0,0.0,210206.0,26000.0
2024-05-17,656588000.0,60428595.0,95672431.0,141478013.0,24443687.0,35880071.0,0.0,223206.0,0.0
2024-05-20,656591803.0,52333224.0,95748431.0,142662013.0,24512187.0,35803747.0,0.0,225030.0,0.0
2024-05-21,657112803.0,58617499.0,95508431.0,146717984.0,24502187.0,36026747.0,0.0,283530.0,21000.0
2024-05-22,657424303.0,60585283.0,95458431.0,148133984.0,24428187.0,36532747.0,0.0,257530.0,0.0
2024-05-23,657167803.0,61867815.0,95474431.0,148251484.0,24507187.0,36467462.0,0.0,303815.0,0.0
2024-05-24,657051803.0,64565315.0,95459931.0,146651984.0,24509687.0,36510462.0,0.0,295815.0,0.0
2024-05-27,656599803.0,64319015.0,0.0,146546984.0,24466687.0,36523962.0,0.0,286815.0,0.0
2024-05-28,656651803.0,65241575.0,95497931.0,145043984.0,24460687.0,36441462.0,0.0,291315.0,0.0
2024-05-29,656715303.0,65260015.0,95526931.0,144998984.0,24475187.0,36464462.0,0.0,287815.0,59000.0
2024-05-30,656593303.0,64784031.0,0.0,146000484.0,24472687.0,35297462.0,0.0,279315.0,0.0
2024-05-31,656713019.0,64443839.0,95531931.0,146094984.0,24470187.0,35070936.0,0.0,212125.0,0.0
2024-06-03,656615019.0,64158339.0,95525931.0,145644484.0,24486187.0,35134336.0,0.0,213225.0,61500.0
2024-06-04,656618519.0,64103249.0,95620931.0,145367984.0,24484687.0,35090336.0,0.0,209725.0,0.0
2024-06-05,656623519.0,63962749.0,95670931.0,145453484.0,24523687.0,0.0,0.0,0.0,0.0
2024-06-06,656503019.0,63878749.0,0.0,145834984.0,24540187.0,35186836.0,0.0,194725.0,0.0
2024-06-07,656494519.0,63613335.0,0.0,145887484.0,24577187.0,35121336.0,0.0,239725.0,0.0
2024-06-11,656306000.0,63725422.0,95734431.0,145979984.0,24577687.0,34940746.0,0.0,257315.0,0.0
2024-06-12,656300000.0,63662922.0,95736431.0,145515984.0,24556687.0,35027056.0,0.0,214005.0,0.0
2024-06-13,656589489.0,63820636.0,0.0,145830984.0,24277187.0,34911853.0,0.0,203005.0,0.0
2024-06-14,656590497.0,63602635.0,0.0,146007984.0,24313187.0,34849480.0,0.0,211871.0,0.0
2024-06-17,656590472.0,63479660.0,0.0,145786484.0,24311687.0,34576980.0,0.0,193871.0,0.0
2024-06-18,656300000.0,63396922.0,95636431.0,145462484.0,24308687.0,34739022.0,0.0,163539.0,0.0
2024-06-19,656501500.0,62886922.0,95636931.0,145219484.0,24316687.0,34854569.0,0.0,126992.0,0.0
2024-06-20,656301500.0,62932422.0,95456931.0,144431984.0,24335687.0,35129846.0,0.0,242215.0,0.0
2024-06-21,656301000.0,62859924.0,95305931.0,144792984.0,24320187.0,35304246.0,0.0,171815.0,0.0
2024-06-24,656300000.0,62641424.0,95195931.0,145450484.0,24345687.0,35379246.0,0.0,172815.0,0.0
2024-06-25,656302519.0,57544251.0,95182431.0,145486984.0,24183187.0,35437246.0,0.0,128315.0,0.0
2024-06-26,656351500.0,57563554.0,0.0,145715984.0,24170187.0,35185962.0,0.0,147315.0,0.0
