date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,HUATAI FINANCIAL HOLDINGS (HONG KONG),REALORD ASIA PACIFIC SECURITIES LTD,RUISEN PORT SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,1.3305555555555555,1.7590277777777779,0.0,1.5333333333333332
2024-03-06,0.0,0.0,0.0,0.0,1.3340277777777778,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,1.3354166666666667,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,1.3368055555555556,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,1.3354166666666667,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,1.3305555555555555,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,1.3277777777777777,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,1.3229166666666667,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,0.0,1.3208333333333333,0.0,0.0,0.0
2024-03-19,0.0,0.0,0.0,0.0,1.3173611111111112,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,0.0,1.3020833333333335,1.7548611111111112,0.0,0.0
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5347222222222223
2024-03-22,0.0,0.0,0.0,0.0,1.307638888888889,1.7631944444444443,0.0,1.5395833333333333
2024-03-26,0.0,0.0,0.0,0.0,1.3152777777777778,1.7666666666666668,0.0,0.0
2024-03-27,0.0,0.0,0.0,0.0,1.3166666666666667,1.7694444444444444,0.0,0.0
2024-04-02,0.0,0.0,0.0,0.9333333333333335,1.3173611111111112,0.0,0.0,1.5381944444444444
2024-04-03,1.395138888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,1.7923611111111113,0.0,0.0
2024-04-08,1.4138888888888888,0.0,0.0,0.0,1.3055555555555556,1.7979166666666668,0.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,1.3027777777777776,1.80625,0.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,1.3,1.8076388888888888,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.9305555555555555,1.2840277777777778,0.0,0.0,1.5361111111111112
2024-04-12,1.4159722222222222,0.0,0.0,0.0,1.2868055555555555,1.809027777777778,0.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,1.292361111111111,1.8104166666666668,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,1.2958333333333334,1.8124999999999998,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,1.3034722222222221,1.8145833333333332,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,1.307638888888889,0.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,1.3131944444444443,1.8194444444444444,0.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,1.8291666666666668,0.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,1.3194444444444444,1.832638888888889,0.0,1.5284722222222222
2024-04-24,0.0,0.0,0.0,0.9312499999999999,1.3222222222222222,1.8340277777777778,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,1.323611111111111,1.8354166666666667,0.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,1.3270833333333334,1.8381944444444445,0.0,1.5215277777777778
2024-04-29,0.0,0.0,0.0,0.0,1.3138888888888889,1.8388888888888888,0.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,1.3111111111111111,0.0,0.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,1.3152777777777778,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,1.332638888888889,0.0,0.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,1.3368055555555556,1.8416666666666668,0.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,1.8388888888888888,0.0,0.0
2024-05-08,0.0,0.0,0.0,0.0,1.3354166666666667,0.0,0.0,0.0
2024-05-09,1.3958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,1.3875,0.0,0.0,0.0,1.3347222222222221,0.0,0.0,1.5145833333333334
2024-05-16,0.0,0.0,0.0,0.0,1.3270833333333334,0.0,0.0,0.0
2024-05-17,1.3784722222222223,0.0,0.0,0.0,1.332638888888889,1.8423611111111113,0.0,1.5104166666666667
2024-05-20,1.3777777777777778,0.0,0.0,0.0,1.3416666666666668,0.0,0.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,1.3284722222222223,0.0,0.0,0.0
2024-05-23,1.4055555555555554,0.0,0.0,0.0,1.3354166666666667,0.0,0.0,1.4979166666666666
2024-05-24,0.0,0.0,0.0,0.0,1.3381944444444445,0.0,0.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,1.3395833333333333,0.0,0.0,0.0
2024-05-28,0.0,0.0,0.0,0.9319444444444445,1.3416666666666668,0.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,1.8444444444444443,0.0,0.0
2024-05-30,0.0,0.0,0.0,0.0,1.3319444444444444,0.0,0.0,1.4923611111111112
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4861111111111112
2024-06-03,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,1.4826388888888888
2024-06-04,0.0,0.0,0.0,0.0,1.338888888888889,0.0,0.0,1.4756944444444444
2024-06-05,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.0
2024-06-06,0.0,0.0,0.0,0.0,1.3291666666666666,0.0,0.0,0.0
2024-06-07,0.0,2.1618055555555555,0.0,0.0,1.3340277777777778,0.0,0.0,1.4729166666666667
2024-06-11,0.0,0.0,0.0,0.0,1.338888888888889,1.8458333333333334,0.0,0.0
2024-06-12,1.4749999999999999,0.0,0.0,0.0,1.3125,0.0,0.0,0.0
2024-06-13,0.0,0.0,0.0,0.9479166666666667,1.2902777777777779,0.0,0.0,1.4680555555555557
2024-06-14,0.0,0.0,0.0,0.0,1.2645833333333334,0.0,0.0,0.0
2024-06-17,0.0,0.0,0.0,0.0,1.2527777777777778,0.0,0.0,0.0
2024-06-18,0.0,0.0,0.0,0.9493055555555555,1.23125,0.0,0.0,1.4604166666666667
2024-06-19,0.0,0.0,0.0,0.0,1.2263888888888888,0.0,0.0,1.4513888888888888
2024-06-20,0.0,0.0,0.0,0.0,1.20625,0.0,0.0,0.0
2024-06-21,0.0,0.0,0.0,0.0,1.2027777777777777,0.0,0.0,0.0
2024-06-24,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
2024-06-25,0.0,0.0,0.0,0.0,1.2013888888888888,0.0,0.0,0.0
2024-06-27,1.4791666666666667,0.0,0.0,0.0,1.2,1.840277777777778,0.0,0.0
2024-07-03,0.0,0.0,0.0,0.0,1.2069444444444446,0.0,0.0,0.0
2024-07-05,0.0,0.0,0.0,0.0,1.2125000000000001,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0,0.9479166666666667,1.2097222222222224,0.0,0.0,0.0
