date,KGI ASIA LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,LONG BRIDGE HK LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,BRADBURY SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD,YUE XIU SECURITIES CO LTD,ZHONGRONG PT SECURITIES LTD
2024-03-01,0.0,19285000.0,611000.0,73000.0,271000.0,1244000.0,0.0,0.0,0.0,2847000.0
2024-03-05,0.0,19417000.0,0.0,93000.0,145000.0,1211000.0,0.0,0.0,0.0,2763000.0
2024-03-06,0.0,19497000.0,834000.0,108000.0,131000.0,1197000.0,0.0,0.0,0.0,2583000.0
2024-03-07,0.0,19342000.0,758000.0,172000.0,166000.0,1181000.0,0.0,259000.0,0.0,0.0
2024-03-08,0.0,19371000.0,749000.0,0.0,163000.0,1170000.0,0.0,237000.0,0.0,2516000.0
2024-03-11,0.0,19349000.0,0.0,180000.0,162000.0,1176000.0,0.0,101000.0,0.0,2323000.0
2024-03-12,0.0,18994000.0,779000.0,189000.0,165000.0,1178000.0,0.0,1000.0,0.0,2165000.0
2024-03-13,0.0,19024000.0,728000.0,207000.0,0.0,0.0,0.0,232000.0,0.0,2044000.0
2024-03-14,0.0,19053000.0,0.0,256000.0,0.0,1177000.0,0.0,251000.0,0.0,1859000.0
2024-03-15,0.0,19076000.0,776000.0,207000.0,0.0,0.0,0.0,101000.0,0.0,1549000.0
2024-03-18,0.0,19124000.0,774000.0,221000.0,175000.0,1179000.0,0.0,221000.0,0.0,1405000.0
2024-03-19,0.0,19943000.0,772000.0,242000.0,234000.0,1181000.0,0.0,95000.0,0.0,1169000.0
2024-03-20,0.0,20090000.0,783000.0,259000.0,329000.0,1188000.0,0.0,101000.0,0.0,766000.0
2024-03-21,0.0,20207000.0,751000.0,261000.0,0.0,1191000.0,0.0,301000.0,0.0,653000.0
2024-03-22,0.0,20708000.0,661000.0,249000.0,315000.0,1180000.0,0.0,101000.0,0.0,352000.0
2024-03-25,0.0,21164000.0,651000.0,0.0,305000.0,1199000.0,0.0,51000.0,0.0,320000.0
2024-03-26,41000.0,21322000.0,652000.0,243000.0,300000.0,1198000.0,0.0,46000.0,0.0,300000.0
2024-03-27,42000.0,20478000.0,649000.0,0.0,281000.0,1183000.0,0.0,51000.0,0.0,229000.0
2024-03-28,44000.0,20359000.0,669000.0,237000.0,283000.0,1190000.0,0.0,54000.0,0.0,192000.0
2024-04-03,0.0,20327000.0,639000.0,241000.0,271000.0,1187000.0,0.0,0.0,0.0,157000.0
2024-04-11,0.0,19503000.0,0.0,250000.0,250000.0,1184000.0,0.0,0.0,0.0,124000.0
2024-04-12,0.0,19478000.0,618000.0,249000.0,280000.0,1185000.0,0.0,0.0,0.0,0.0
2024-04-15,41000.0,19286000.0,587000.0,0.0,243000.0,1190000.0,0.0,0.0,0.0,0.0
2024-04-16,0.0,19301000.0,525000.0,255000.0,178000.0,1189000.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,19474000.0,569000.0,268000.0,278000.0,1195000.0,0.0,54000.0,0.0,0.0
2024-04-24,0.0,19613342.0,669000.0,181000.0,279000.0,1194000.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,19682675.0,730000.0,233000.0,452000.0,1197000.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,19755675.0,724000.0,225000.0,293000.0,1198000.0,0.0,76000.0,0.0,0.0
2024-04-29,51000.0,18778675.0,654000.0,154000.0,341000.0,1199000.0,0.0,0.0,0.0,0.0
