date,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,MERRILL LYNCH FAR EAST LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,441111665.0,211174933.0,303004945.0,92113329.0,121841351.0,0.0,59553621.0,12500963.0,10095000.0
2024-03-04,440705465.0,211598933.0,303089945.0,91845415.0,121780351.0,0.0,59649281.0,12567963.0,10098000.0
2024-03-05,441018465.0,212030933.0,302919945.0,91675474.0,121777351.0,0.0,59582281.0,12119963.0,0.0
2024-03-06,441111465.0,211891933.0,302979945.0,91612424.0,121692351.0,0.0,59565281.0,12115963.0,10112000.0
2024-03-07,441126640.0,211913933.0,303090945.0,92163909.0,121886351.0,0.0,59472281.0,11724963.0,10123000.0
2024-03-08,441024440.0,211890933.0,0.0,92019876.0,121815351.0,0.0,59575281.0,11664963.0,0.0
2024-03-11,440865340.0,212568933.0,303126945.0,91792193.0,121847351.0,0.0,59510941.0,11633963.0,10127000.0
2024-03-12,440549240.0,213493933.0,303132945.0,90082193.0,121871351.0,0.0,59518941.0,12009963.0,10231000.0
2024-03-13,440388264.0,214110933.0,303126945.0,89192174.0,121815351.0,0.0,59582941.0,11988333.0,10233000.0
2024-03-14,442461567.0,213803933.0,303156945.0,87791891.0,122152351.0,0.0,59538941.0,12407333.0,10278000.0
2024-03-15,442461405.0,214534933.0,303175945.0,86562956.0,122194351.0,0.0,0.0,12551333.0,10416000.0
2024-03-18,441684823.0,213502933.0,304840945.0,86097338.0,122038351.0,0.0,59806601.0,12702333.0,10389000.0
2024-03-19,441219823.0,213678933.0,304631945.0,85987338.0,122009101.0,0.0,59775601.0,12960333.0,10490000.0
2024-03-20,441038423.0,214452933.0,304623945.0,86018338.0,122127101.0,0.0,59654601.0,12823333.0,10495000.0
2024-03-21,440119723.0,216227933.0,304632945.0,86019338.0,122196101.0,0.0,59592597.0,12425333.0,10546000.0
2024-03-22,434666867.0,216963933.0,304612945.0,86643908.0,122218101.0,0.0,0.0,12245333.0,10542000.0
2024-03-25,434361067.0,217343933.0,304641945.0,86663766.0,122183101.0,0.0,59690257.0,12042333.0,0.0
2024-03-26,431556352.0,218371933.0,304617945.0,87151766.0,122187101.0,0.0,59689255.0,11620333.0,0.0
2024-03-27,430496461.0,218349933.0,304601945.0,87409766.0,0.0,0.0,59639255.0,12574200.0,10545000.0
2024-03-28,430221461.0,218833933.0,0.0,87320766.0,122215101.0,0.0,59863255.0,12630200.0,10559000.0
2024-04-02,430461711.0,218893933.0,0.0,87171266.0,122240101.0,0.0,59744255.0,12682200.0,10556000.0
2024-04-03,431579352.0,219044933.0,0.0,87181266.0,122248101.0,0.0,59706959.0,11624309.0,10584000.0
2024-04-05,431874432.0,218071933.0,304712945.0,87066266.0,122218101.0,0.0,59825952.0,11668309.0,10626000.0
2024-04-08,438062929.0,218333933.0,306212945.0,87123266.0,122203101.0,103353350.0,59880949.0,11409309.0,10623000.0
2024-04-09,438350729.0,0.0,306096945.0,86789809.0,122200101.0,0.0,59798945.0,11257309.0,10633000.0
2024-04-10,438664729.0,217766933.0,306111945.0,86822529.0,122199101.0,0.0,59774949.0,11148309.0,10628000.0
2024-04-11,438778974.0,217461933.0,306284945.0,86815529.0,122168101.0,0.0,59744949.0,11204309.0,10625000.0
2024-04-12,438883950.0,217613933.0,306182945.0,86486759.0,122173101.0,0.0,59808949.0,11175333.0,10545000.0
2024-04-15,438775050.0,217860933.0,306163945.0,85945759.0,122201101.0,0.0,59727329.0,11185333.0,10557000.0
2024-04-16,439048650.0,218237933.0,306107945.0,84751759.0,122192901.0,82471193.0,78418486.0,11130933.0,10562000.0
2024-04-17,439402450.0,219230933.0,305670945.0,85098536.0,122262901.0,0.0,78515486.0,10877333.0,10569000.0
2024-04-18,439993504.0,220453933.0,0.0,85094936.0,122249901.0,0.0,77817482.0,10455279.0,10580000.0
2024-04-19,438102304.0,221937933.0,305813945.0,84494537.0,122255901.0,0.0,80119478.0,10548679.0,10597000.0
2024-04-22,437998104.0,223258933.0,305670945.0,83317202.0,122222901.0,82472193.0,80376132.0,10664679.0,10979000.0
2024-04-23,438338800.0,223562933.0,305574945.0,82895506.0,122227901.0,0.0,80374132.0,10861679.0,11079000.0
2024-04-24,438338104.0,222817933.0,305699945.0,81532319.0,122210901.0,0.0,80458136.0,11253679.0,11091000.0
2024-04-25,437454529.0,222180933.0,305683945.0,81364619.0,122216901.0,0.0,80654636.0,12969600.0,11101000.0
2024-04-26,438447464.0,221321933.0,305366945.0,80958619.0,122217901.0,0.0,80567636.0,12849600.0,11102000.0
2024-04-29,439435730.0,220724933.0,305334945.0,80936673.0,122381901.0,0.0,80607296.0,12561600.0,11124000.0
2024-04-30,439512730.0,219668933.0,305534945.0,81146107.0,122235901.0,0.0,80671292.0,12472600.0,11168000.0
2024-05-02,441066459.0,219194933.0,0.0,81059213.0,0.0,0.0,80942292.0,11090069.0,11147000.0
2024-05-03,453642966.0,218024933.0,305464945.0,81180213.0,122194901.0,0.0,69273200.0,10940069.0,11155000.0
