date,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,DEUTSCHE BANK AG,KGI ASIA LTD,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,VALUABLE CAPITAL LTD
2024-03-01,2.17625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,2.180625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,2.1825,1.621875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,2.185625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,1.6256249999999999,2.254375,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,1.62625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,1.63125,2.248125,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,2.1875,0.0,2.24625,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,2.1950000000000003,1.631875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,2.1937499999999996,1.6324999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5543750000000001,0.0
2024-04-22,0.0,1.63375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,1.633125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,0.0,1.6343750000000001,0.0,0.0,0.0,0.0,0.0,0.555625,0.0
2024-05-31,2.1931249999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,0.0,1.629375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,0.0,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,2.365,0.0,0.0
2024-06-25,2.211875,1.605625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,2.230625,1.586875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
