date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GET NICE SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD
2024-03-08,0.0,6.7977474245546,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,7.985456308326263,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,8.273906193188704,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,8.27269421888256,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,8.273906193188704,0.0,0.0,0.0,0.0
2024-03-26,0.0,0.0,8.276330141800994,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,8.404799418252333,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,8.56356805235729,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,8.495697491213186,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.016967640286025938
2024-04-11,0.0,0.0,8.51993697733608,0.0,0.0,0.0,0.0
2024-04-15,0.0,0.0,8.544176463458975,0.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,8.541752514846685,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,8.559932129438856,0.0,0.0,0.0,0.0
2024-04-25,0.0,0.0,8.547812386377409,0.0,0.0,0.0,0.0
2024-04-30,15.830153920736882,0.0,0.0,0.0,17.140722336686462,0.0,0.0
2024-05-02,0.0,0.0,8.548297176099867,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,8.549024360683553,0.0,0.0,0.0,0.0
2024-05-27,0.0,0.0,8.559932129438856,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,8.558720155132711,0.0,0.0,0.0,0.0
2024-06-07,0.0,6.761388195370258,8.559932129438856,0.0,0.0,0.0,0.0
2024-07-02,15.842273663798329,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,0.0,6.780779784268573,8.564780026663435,0.0,0.0,0.0,0.029087383347473034
2024-07-23,0.0,0.0,8.567203975275724,0.0,0.0,0.0,0.0
2024-07-24,0.0,0.0,8.573263846806448,0.0,0.0,0.0,0.0
2024-07-29,0.0,0.0,8.570839898194158,0.0,0.0,0.0,0.0
2024-08-06,0.0,0.0,7.766088958914071,0.0,0.0,0.0,0.0
2024-08-13,0.0,6.766236092594837,0.0,0.0,0.0,0.0,0.0
2024-08-15,0.0,0.0,7.758817113077203,73.3812410616895,0.0,0.0,0.0
2024-09-16,0.0,0.0,7.743061447097322,0.0,0.0,0.0,0.0
2024-09-20,0.0,0.0,0.0,0.0,17.126760392679675,0.0,0.0
2024-09-24,0.0,0.0,0.0,0.0,17.09847291237426,0.0,0.0
2024-09-27,0.0,0.0,0.0,0.0,17.097503332929342,0.0,0.0
2024-10-08,15.838637740879893,0.0,7.379469155253908,73.4030565992001,0.0,0.0,0.0
2024-10-09,15.829669131014423,7.277689249787904,7.301902799660648,0.0,0.0,0.0,0.0
2024-10-10,0.0,7.364951399830323,7.2776633135377535,73.58970064234637,0.0,0.0,0.0
2024-10-14,0.0,7.094681129560053,7.270391467700884,73.91693370500545,0.0,0.0,0.0
2024-10-16,0.0,7.070441643437158,0.0,0.0,0.0,0.0,0.0
2024-10-18,0.0,0.0,7.161313780147862,0.0,0.0,0.0,0.0
2024-11-11,0.0,7.094681129560053,0.0,0.0,0.0,0.0,0.0
2024-11-14,0.0,0.0,7.2425160586595565,0.0,0.0,0.0,0.0
2024-11-18,15.849060719912739,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,15.815125439340685,0.0,7.257059750333293,73.93147739667918,0.0,0.0,0.0
2024-11-22,0.0,7.120132589989092,7.258271724639438,0.0,0.0,0.0,0.0
2024-11-29,0.0,0.0,7.2606956732517265,0.0,0.0,0.0,0.0
