date,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,0.0,3.4074334574219054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.600720441469762,0.0,0.0
2024-03-14,0.06147306404054303,3.4076861210636666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0617257276823044,0.0,0.0,0.0,0.0,0.0,0.6008467732906426,0.0,0.0
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.6009478387473473,0.0,0.0
2024-04-05,0.0,3.4078377192487235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.600922572383171,0.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.6008973060189949,0.0,0.0
2024-05-07,0.0,3.408191448347189,0.0,0.0,0.0,0.0,0.6010236378398757,0.0,0.0
2024-05-22,0.062003657688241925,3.4078377192487235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.6010994369324041,0.0,0.0
2024-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6008215069264665,0.0,0.0
2024-06-07,0.062205788601651026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,0.062079456780770335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,0.061953124959889645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0,0.0,0.24126851151793893,0.0,0.0,0.0,0.0
2024-07-16,0.062281587694179436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,0.0,3.407888251977076,0.0,0.0,0.0,0.0,0.6007962405622904,0.0,0.0
2024-08-23,0.062256321330003306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-28,0.0,0.0,0.0,0.0,0.0,0.1267108163433306,0.0,0.0,0.0
2024-09-17,0.0,3.4081409156188376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24,0.0,3.4083935792605984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,0.0,3.4088989065441213,0.0,0.0,0.0,0.0,0.6008215069264665,0.0,0.0
2024-10-03,0.06263531679264536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-07,0.0628627140702306,3.409025238365002,0.0,0.0,0.0,0.0,0.6018574278576881,0.0,0.0
2024-10-08,0.06311537771199198,0.0,0.0,0.0,0.0,0.0,0.6019584933143928,0.0,0.0
2024-10-09,0.0631911768045204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-14,0.06321644316869653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-22,0.0,0.0,2.012143760486122,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-25,0.0634691068104579,0.0,0.0,0.0,0.0,0.0,0.6019332269502166,0.0,0.0
2024-10-30,0.0,3.4216584204530704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,0.06326697589704881,0.0,0.0,0.0,0.0,0.0,0.6020595587710973,0.0,0.0
2024-11-05,0.06309011134781584,0.0,2.0124216904920598,0.0,0.0,0.0,0.6019584933143928,0.0,0.0
2024-11-07,0.06248371860758854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-08,0.06283744770605446,0.0,0.0,0.0,0.0,0.0,0.6016047642159268,0.0,0.0
2024-11-18,0.062003657688241925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4718493509893716
2024-11-22,0.06197839132406578,0.0,0.0,0.0,0.0,0.0,0.6016300305801029,0.0,0.0
2024-11-27,0.06389863500145225,0.0,0.0,0.0,0.0,0.0,0.6021858905919779,0.20448871998129045,0.0
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.6022364233203302,0.0,0.0
2024-12-13,0.06402496682233294,0.0,0.0,0.0,0.0,0.0,0.6019837596785689,0.0,0.0
2024-12-16,0.0639997004581568,0.0,0.0,0.0,0.0,0.0,0.6020342924069212,0.0,0.47182408462519543
