date,ZHONGTAI INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SINOPAC SECURITIES (ASIA) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,KGI ASIA LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-06,0.0,0.0,70.44611420320959,0.0,0.0,29.553885796790407,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,70.51401343102185,0.0,0.0,29.485986568978152,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,70.64888018826284,0.0,0.0,29.351119811737153,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,70.68909996551417,0.0,0.0,29.310900034485833,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,45.65917034313563,0.0,35.40847122765666,18.932358429207707,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,45.67519790447407,0.0,35.398027672633944,18.926774422891988,0.0,0.0,0.0,0.0
2024-03-25,0.0,0.0,46.05704296270437,0.0,35.14921752668759,18.79373951060804,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,46.07283671620951,0.0,35.1389263207915,18.788236962998997,0.0,0.0,0.0,0.0
2024-03-28,0.0,0.0,46.00548785595161,0.0,35.08756055286691,18.906951591181482,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,44.49607753899592,0.0,33.932118881100095,18.286626731606734,0.0,3.2851768482972457,0.0,0.0
2024-04-05,0.0,0.0,44.213311413303266,0.0,34.21488500679275,18.286626731606734,0.0,3.2851768482972457,0.0,0.0
2024-04-11,0.0,0.0,44.238329615448215,0.0,34.23424557676826,18.240389034745167,0.0,3.2870357730383564,0.0,0.0
2024-04-12,0.0,0.0,44.25410158672422,0.0,34.2245625537496,18.23522981175319,0.0,3.28610604777299,0.0,0.0
2024-04-15,0.0,0.0,44.37661067266546,0.0,34.11208491230623,18.222407612304234,0.0,3.288896802724083,0.0,0.0
2024-04-16,0.0,0.0,44.401749728047776,0.0,34.131409181979336,18.176081149041146,0.0,3.2907599409317374,0.0,0.0
2024-04-17,0.0,0.0,44.41762996192553,0.0,34.31495750870231,17.99426762960272,0.0,3.273144899769446,0.0,0.0
2024-04-19,0.0,0.0,31.89937095755494,26.796601071198463,24.566035136705324,14.39475249700414,0.0,2.343240337537135,0.0,0.0
2024-04-22,0.0,0.0,31.580892641438364,27.32777546097151,24.52044855809843,14.251037545939408,0.0,2.319845793552294,0.0,0.0
2024-04-23,0.0,0.0,28.793142950144773,24.915462469377932,22.355947583590638,12.993051396834264,0.0,2.1150653439224962,0.0,8.827330256129898
2024-04-24,0.0,0.0,28.81134802282443,24.915462469377932,22.355947583590638,12.97484632415461,0.0,2.1150653439224962,0.0,8.827330256129898
