date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CORNERSTONE SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HUARONG INTERNATIONAL SECURITIES LTD,LUK FOOK SECURITIES (HK) LTD,MASON SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,45.4346737307664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,29.981199192895623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,29.980424620556374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,29.98003733438675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,29.979866153899774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,30.01123633363929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,29.99613217302397,94.26922314267236,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,94.3079517596347,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,45.40737005580794,30.013947336826654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,0.0,0.0,0.0,26.378974621137303,0.0,0.0,0.0,0.0
2024-04-03,45.40450994744526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.56670462071129
2024-04-05,0.0,30.025565921915366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,45.34990259752834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,45.390954931508446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.56438090369355
2024-04-17,45.29800625079878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,30.02169306021913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,45.29799463221369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.56439252227864
2024-04-23,0.0,30.028276925102727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,44.07024906373568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,44.10626667751068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,44.082642221163646,0.0,94.38540899355942,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,44.056694047798864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,44.095422664761216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,44.049722896745635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,43.99279182981097,30.03214978679896,94.46673908918038,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,43.96684365644619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,29.967860282641446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,44.044300890370906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,0.0,29.929131665679087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,94.54318937906409,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04,43.94786663413463,29.909767357197907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05,0.0,29.685141378816223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,0.0,29.72386999577858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,43.941282769251025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,43.863825535326306,29.747107165955995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,43.86343824915669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,43.88628813316448,29.76647147443718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,43.886210675930556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.54657735847595
2024-06-25,0.0,29.76259861274094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-27,43.88582338976093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,43.81533730688943,29.878784463628023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,43.93074858543727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,44.00820581936198,29.976380578373163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,44.00781853319236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11,0.0,29.970919843381473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,43.92958672692839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,44.00704396085312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,44.00975496404048,29.947682673204056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,44.04228700228886,29.892688037117505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,0.0,29.892494394032692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,44.0035583853265,29.88474867064022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,44.0314429895394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,43.95398575561468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,0.0,29.86925722385528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,44.0314429895394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,43.97335006409586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.44355923735607
2024-08-07,0.0,29.888621532336458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,43.87652852168996,29.8887319088948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-16,0.0,29.911969079072215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-22,43.686758298574404,29.9232003779913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-29,43.760729956972504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,0.0,29.91545465459883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-11,43.75685709527627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,43.75298423358004,29.907708931206358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17,43.75220966124079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24,0.0,29.990588171505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,0.0,30.032376349208196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27,43.75259694741041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,43.7520450646187,30.059486381081847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,43.79077368158106,29.891404183465202,0.0,0.0,0.0,0.0,0.0,0.0,38.43658808630285
2024-10-03,43.73965190719074,29.878313910931926,94.57417227263397,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,51.96936682584128,30.175865875053738,93.55677150503278,0.0,26.356211876517676,66.07544024755332,0.0,1011.3787685848952,42.13819183833126
2024-10-07,49.910631005356166,30.98099509308423,93.07537479619066,0.0,29.81932480529188,65.56794045087855,92.05728194820435,0.0,42.0361806612524
2024-10-08,49.34345040994241,32.24836971886897,93.11720170251,0.0,29.36310169747528,65.57955903596728,0.0,0.0,41.0369048863896
2024-10-09,48.56926535686485,33.1236364622183,93.14043887268741,0.0,29.53234575360079,0.0,0.0,0.0,39.67869228951965
2024-10-10,48.815579360745446,32.97143299755623,93.6965818122669,0.0,29.76007002133947,65.60976735719791,0.0,0.0,39.69805659800083
2024-10-14,48.62387270678177,33.24995836673676,94.7265306517639,0.0,29.953713106151262,65.68722459112263,0.0,0.0,39.694183736304595
2024-10-15,48.217609514846615,33.22168647635424,95.16455130960819,0.0,29.96533169123997,0.0,0.0,0.0,39.657778836359974
2024-10-16,48.716821387491436,33.233692347612575,95.24200854353289,0.0,29.98353414121228,0.0,0.0,0.0,39.69186001928685
2024-10-17,48.72495439705353,32.88358565027284,95.28073716049526,0.0,30.17717722602408,65.76468182504735,0.0,0.0,39.682022950578414
2024-10-18,48.939898221194625,32.57298214223472,0.0,0.0,0.0,0.0,0.0,0.0,39.6506527708389
2024-10-21,49.2218425526806,32.59312102305515,0.0,0.0,30.293363076911163,65.8034104420097,0.0,0.0,39.68938138780126
2024-10-22,49.10410755711503,32.723249176048675,95.42325847091675,0.0,0.0,65.76468182504735,0.0,0.0,39.64484347829455
2024-10-23,48.431391480478844,32.896753380040046,0.0,0.0,30.33983741726599,65.83749162493659,0.0,0.0,39.83732470459748
2024-10-24,48.47980225168179,32.97111232460777,95.39576115287348,0.0,0.0,0.0,0.0,0.0,39.955446986332674
2024-10-25,48.444171924076414,32.9714996107774,95.384917140124,0.0,0.0,0.0,0.0,0.0,39.97016386077837
2024-10-28,48.47786582083367,33.10162776377093,94.99763097050041,0.0,30.343710278962227,65.87622024189895,0.0,0.0,40.034840651105505
2024-10-29,48.338442799769176,32.9978350703118,94.95193120248483,0.0,30.34099927577486,65.9033302737726,0.0,0.0,39.91865480021843
2024-10-30,48.36594011781245,32.785214963188444,94.95502949184181,0.0,0.0,65.92269458225377,0.0,0.0,0.0
2024-10-31,48.354321532723745,32.75733035897555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,48.41706189220277,32.80496655783926,0.0,0.0,0.0,65.94593175243119,0.0,0.0,0.0
2024-11-04,48.35896896675923,32.153551220532364,94.9643243599128,0.0,30.793736808064846,0.0,0.0,0.0,39.92059123106655
2024-11-05,48.58514408981941,32.248049045920524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06,48.52356558884925,32.18066125240602,95.46585994957533,0.0,30.75500819110249,0.0,0.0,0.0,0.0
2024-11-07,48.86747570747501,32.23914146401918,0.0,0.0,30.851829733508385,65.82974590154411,0.0,0.0,39.83732470459748
2024-11-08,48.95655152648844,32.268962499080196,0.0,0.0,30.85608988137425,0.0,0.0,0.0,39.89154476834478
2024-11-11,48.943383796721236,32.06524997385819,95.61070497701458,0.0,30.851829733508385,0.0,0.0,0.0,39.74437602388781
2024-11-12,49.1955070931462,32.04782209622512,95.63084385783499,0.0,0.0,0.0,0.0,0.0,39.86056187477489
2024-11-13,49.196281665485444,32.072995697250654,0.0,63.27882629053434,0.0,0.0,0.0,0.0,39.85668901307866
2024-11-14,49.010384304066115,31.99247890258591,0.0,0.0,30.987379892876643,0.0,0.0,0.0,0.0
2024-11-15,48.97940141049623,32.024623654664666,0.0,0.0,0.0,65.84136448663281,0.0,0.0,0.0
2024-11-18,48.97591583496962,32.101693602419765,0.0,0.0,31.064837126801365,65.86847451850647,0.0,0.0,0.0
2024-11-19,48.934476214819895,32.29533668723156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,48.89613488402716,32.291076539365704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,48.91992819714415,32.25738264260845,0.0,0.0,0.0,0.0,0.0,0.0,39.852428865212794
2024-11-22,48.91837905246565,32.28565453299097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,48.90404946418958,32.28527499254474,0.0,0.0,0.0,0.0,0.0,0.0,39.7195897090319
2024-11-26,48.82697951643449,32.281402130848505,95.63394214719199,0.0,31.258867497782788,0.0,0.0,0.0,0.0
2024-11-27,48.760366295259225,32.265910684063556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-28,48.73441812189445,32.29418257444608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29,48.7417765591173,32.309286735061406,0.0,0.0,31.34794331679621,0.0,0.0,0.0,0.0
2024-12-02,48.780969919483205,32.29069699891947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03,48.56834981235985,32.18332190839133,0.0,0.0,31.602777616408538,62.56918363948305,0.0,0.0,39.72501171540663
2024-12-04,48.42079378173326,32.202686216872515,0.0,0.0,31.757692084257975,0.0,0.0,0.0,0.0
2024-12-05,48.41963192322439,32.04389888732683,95.63665315037935,0.0,31.873877935145057,0.0,0.0,0.0,0.0
2024-12-06,48.416146347697776,32.07062163303086,0.0,0.0,0.0,62.56259977459945,0.0,0.0,0.0
2024-12-09,48.423117498751,31.98929153740991,95.64362430143257,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-10,48.42427935725988,31.985418675713674,0.0,0.0,121.38624591897198,0.0,0.0,0.0,39.74011587602195
2024-12-11,48.170219629986796,31.877365834388687,0.0,0.0,0.0,62.42007846417796,0.0,0.0,39.886897334309296
2024-12-12,48.08927682053546,31.97031451509835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-13,48.12297071729271,31.97883481083007,0.0,0.0,0.0,0.0,0.0,0.0,39.84855600351656
2024-12-16,48.117935997087606,31.920741885386533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-17,48.111352132204004,31.94088076620696,0.0,0.0,0.0,0.0,0.0,0.0,39.86288559179263
2024-12-18,48.15782647255884,31.933135042814488,0.0,0.0,0.0,62.538588032082785,0.0,0.0,0.0
2024-12-19,47.99748999833467,31.94862648959943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-20,47.98500001936431,31.9563722129919,0.0,0.0,0.0,62.65671031381799,0.0,0.0,0.0
2024-12-23,47.988485594890925,32.02995658522039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,48.02992521504065,32.06868520218274,0.0,0.0,0.0,62.68575677653976,0.0,0.0,0.0
2024-12-30,47.92613252158152,32.10237909894,0.0,0.0,0.0,62.58351322775913,0.0,0.0,0.0
2025-01-02,47.91838679818905,32.09928080958301,0.0,0.0,0.0,62.38987014294732,0.0,0.0,0.0
2025-01-03,47.90405720991298,32.11477225636795,0.0,0.0,0.0,0.0,0.0,0.0,39.8377119907671
2025-01-06,47.89902248970787,32.10237909894,0.0,0.0,0.0,62.42085303651721,0.0,0.0,0.0
2025-01-07,47.31809323527247,32.0384768809521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,47.56092166362647,31.990066109749154,0.0,0.0,0.0,0.0,0.0,0.0,39.89657948854988
2025-01-09,47.77896377712455,32.08069107344107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,47.8157559632388,32.21740309131821,95.73579840980298,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,47.790969648382884,32.22127595301444,0.0,63.2633348437494,0.0,0.0,0.0,0.0,0.0
2025-01-14,47.68330409322753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,47.681754948549035,32.23558617698203,95.71333581196481,0.0,121.38547134663273,0.0,0.0,0.0,0.0
2025-01-16,47.489273722246104,32.34402630447664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-17,47.49392115628159,32.30529768751428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-20,47.49159743926384,32.34635002149438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21,47.49275929777272,32.25340134078472,95.67197364904901,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22,47.579898685938026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23,47.57021653169743,32.21854558551859,95.67933208627186,0.0,0.0,0.0,0.0,0.0,39.899677777906874
2025-01-24,47.6631652124071,32.52488894569086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,47.73674958463558,32.533409241422575,0.0,0.0,121.11204731087848,0.0,0.0,0.0,39.89908213177799
2025-02-03,47.754952034607896,32.563230276483594,0.0,0.0,120.78556506988578,0.0,0.0,0.0,39.90101856262611
2025-02-04,47.75688846545601,32.75803521980426,0.0,0.0,120.75323635687647,0.0,0.0,0.0,0.0
2025-02-05,47.81110852920331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.86228994566375
2025-02-06,47.8846929014318,32.56477942116209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,48.039607369281235,32.574848861572306,95.63285774591704,0.0,0.0,0.0,0.0,0.0,39.827434190397625
2025-02-10,48.04348023097747,32.57291243072419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,48.07717412773472,32.606606327481444,94.54690732629247,0.0,0.0,0.0,0.0,0.0,39.835954486129346
2025-02-12,48.20188027435352,0.0,94.51011514017823,0.0,0.0,0.0,0.0,0.0,39.83556719995972
2025-02-13,48.192198120112934,32.59886060408897,94.59531809749542,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,48.20730228072826,32.59537502856236,94.74752156215749,0.0,0.0,0.0,0.0,0.0,39.821624897853276
2025-02-17,47.89321319716351,32.54773882969865,94.86370741304458,0.0,0.0,0.0,0.0,0.0,39.81581560530892
2025-02-18,47.797553513266486,32.47531631597904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-19,47.625985740123234,32.46132482852905,94.90166145766769,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,47.69647182299473,32.48068913701022,0.0,0.0,0.0,62.42084916365551,0.0,0.0,39.82549775954951
2025-02-21,47.61436715503453,32.4899840050812,0.0,0.0,120.76098208026893,0.0,0.0,0.0,40.212783929173106
2025-02-24,47.61824001673076,32.41252677115647,94.91521647360452,0.0,0.0,0.0,0.0,0.0,40.218593221717455
2025-02-25,47.7336512952786,32.444671523235236,94.9035978885158,0.0,0.0,61.933643162269036,0.0,0.0,40.17018245051451
2025-02-26,47.718934420832895,32.464035831716416,94.89120473108785,0.0,0.0,0.0,0.0,0.0,40.15081814203333
2025-02-27,47.81536867706917,32.387353170130936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,47.80181366113235,32.54110577947151,0.0,0.0,0.0,61.96849891753515,0.0,0.0,40.03463229114625
2025-03-03,47.79639165475762,32.49346958060781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,47.802975519641215,32.653806054831975,94.85247611412548,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,47.68059309004016,32.692534671794334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,47.71661070381516,32.746367449372016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,0.0,32.74994945915486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,48.25809873473608,32.75529400829567,0.0,0.0,0.0,62.00722753449751,0.0,0.0,39.69188403102937
2025-03-12,48.23098870286243,32.78037078777879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,48.22324297946996,32.66430112274261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,48.21084982204201,32.69179844078588,95.3172195176738,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,48.246480149647375,32.6724341323047,0.0,0.0,0.0,0.0,0.0,0.0,39.77708698834656
2025-03-20,48.239905966918016,32.66507569508185,0.0,0.0,0.0,0.0,0.0,0.0,39.85454422227128
2025-03-21,48.23603310522178,32.691023868446635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,48.30187175405779,32.76499552684474,95.30831193577247,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,48.84316341114817,32.57823586144389,95.22177924447182,0.0,121.41604751778819,0.0,0.0,0.0,39.70579215034647
2025-03-26,48.83425479419159,32.44421927592311,95.21132130282713,0.0,0.0,0.0,0.0,0.0,39.73329266356027
2025-03-27,48.684357630617754,32.510065575167424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,48.60185609097635,32.53136878962882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,49.27658699264458,32.498445640006665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,49.28743226546129,32.53989007541338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,49.04728693880555,32.54376338713364,0.0,0.0,0.0,0.0,0.0,0.0,39.72167272839951
2025-04-03,48.93108758719793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.659699740875446
2025-04-08,48.93728488595034,32.5553833222944,95.22565255619207,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-09,49.70729925593682,32.44809258764336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-10,49.90909879656205,32.469395802104756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,49.90793680304597,32.53175612080085,95.24656843948144,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,50.038854739190555,32.57048923800339,0.0,0.0,0.0,0.0,0.0,0.0,39.630649902973545
2025-04-15,50.037305414502455,32.7292950185338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
