date,BOCOM INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DONGXING SECURITIES (HONG KONG) CO LTD,TIGER FAITH SECURITIES LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CGS INTERNATIONAL SECURITIES HK LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,70.31699343458526,0.0,0.0,0.0,29.68300656541475
2024-03-06,0.0,0.0,0.0,0.0,0.0,70.31034227714721,0.0,0.0,0.0,29.68965772285278
2024-03-08,0.0,0.0,0.0,0.0,0.0,70.3092334611076,0.0,0.0,0.0,29.690766538892415
2024-03-14,0.0,0.0,0.0,0.0,0.0,70.30812456224322,0.0,0.0,0.0,29.691875437756778
2024-03-18,0.0,0.0,0.0,0.0,0.0,42.86706054456856,0.0,37.537892369986025,0.0,19.59504708544541
2024-03-20,0.0,0.0,0.0,0.0,0.0,42.93440626513205,0.0,37.493644403153105,0.0,19.57194933171485
2024-03-21,0.0,0.0,0.0,0.0,0.0,42.77387170121521,0.0,37.63878651969359,0.0,19.5873417790912
2024-03-22,0.0,0.0,0.0,0.0,0.0,42.525271753283775,0.0,37.8419739154453,0.0,19.632754331270917
2024-03-26,0.0,0.0,0.0,0.0,0.0,42.20164323011894,0.0,38.09479533348995,0.0,19.70356143639111
2024-03-27,0.0,0.0,0.0,0.0,0.0,42.066842853591005,0.0,38.18364202467106,0.0,19.749515121737936
2024-03-28,0.0,0.0,0.0,0.0,0.0,42.22584070503362,0.0,38.07884682031453,0.0,19.69531247465185
2024-04-02,0.0,0.0,0.0,0.0,0.0,42.198953370552104,0.0,38.09656821520149,0.0,19.704478414246402
2024-04-03,0.0,0.0,0.0,0.0,0.0,42.66768730921712,0.0,37.69910317056298,0.0,19.633209520219904
2024-04-12,0.0,0.0,0.0,0.0,0.0,42.53445240099524,0.0,37.786712344434385,0.0,19.67883525457037
2024-04-15,0.0,0.0,0.0,0.0,0.0,42.5584803660768,0.0,37.770912655008395,0.0,19.670606978914805
2024-04-16,0.0,0.0,0.0,0.0,0.0,42.5704868151155,0.0,37.76301776398135,0.0,19.666495420903146
2024-04-17,0.0,0.0,0.0,0.0,0.0,42.545133977847236,0.0,37.779688628681996,0.0,19.675177393470776
2024-04-22,0.0,0.0,0.0,0.0,61.018125094669415,16.70600324618948,0.0,14.647593032248093,0.0,7.62827862689301
2024-04-23,0.0,0.0,0.0,0.0,61.07534471739227,16.634206235276483,0.0,14.661328782827168,0.0,7.629120264504078
2024-04-26,0.0,0.0,0.0,0.0,61.07884892637628,16.629094000816504,0.0,14.662386446140466,0.0,7.629670626666744
2024-04-29,0.0,0.0,0.0,0.0,61.07995049813313,16.629393910533455,0.0,14.662650885812809,0.0,7.628004705520608
2024-04-30,0.0,0.0,0.0,0.0,60.38324849959062,17.315638554499373,0.0,14.669529666866033,0.0,7.631583279043968
