date,FOSUN INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES (INTERNATIONAL),BOCI SECURITIES LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE CORE SECURITIES COMPANY LTD
2024-03-01,0.0,15726641.0,16362500.0,0.0,8185500.0,9363360.0,76826380.0,16190500.0,35103083.0,37113817.0
2024-03-04,0.0,15947641.0,17130000.0,0.0,8286500.0,8582860.0,76766380.0,16066000.0,33603083.0,37108430.0
2024-03-05,0.0,15551641.0,17289000.0,0.0,8180500.0,8563360.0,76746380.0,16129500.0,0.0,0.0
2024-03-07,0.0,15527641.0,17223500.0,0.0,0.0,8493360.0,76676380.0,16221500.0,0.0,0.0
2024-03-08,0.0,15519141.0,17233000.0,0.0,0.0,8392860.0,76576380.0,16275500.0,0.0,0.0
2024-03-12,0.0,15577641.0,16924000.0,0.0,8211500.0,8243360.0,76475380.0,16740000.0,0.0,37087930.0
2024-03-13,0.0,15535641.0,16838500.0,0.0,8185000.0,8218860.0,0.0,16793500.0,0.0,0.0
2024-03-14,0.0,15541141.0,16941000.0,0.0,8198500.0,8119360.0,0.0,16708500.0,0.0,37063430.0
2024-03-15,0.0,15561141.0,16968000.0,0.0,8201500.0,0.0,0.0,16711500.0,0.0,37047930.0
2024-03-18,0.0,15582141.0,17066000.0,0.0,8224000.0,0.0,0.0,16715500.0,33403083.0,0.0
2024-03-19,0.0,15682141.0,17224500.0,102500.0,8245500.0,0.0,0.0,16759000.0,33203083.0,37007430.0
2024-03-21,0.0,15617141.0,17147000.0,0.0,8270500.0,0.0,0.0,16879500.0,33071583.0,36947430.0
2024-03-22,0.0,15697641.0,17080000.0,0.0,8272500.0,0.0,0.0,16939500.0,0.0,36936430.0
2024-03-25,0.0,15699641.0,17276500.0,0.0,8287500.0,8126360.0,0.0,16936500.0,32810083.0,36913930.0
2024-03-26,0.0,15667641.0,17251500.0,0.0,0.0,0.0,0.0,16936000.0,32803083.0,36892430.0
2024-03-27,0.0,15902141.0,17602000.0,87500.0,8219500.0,0.0,0.0,16815500.0,0.0,36891430.0
2024-03-28,0.0,15952141.0,17789500.0,0.0,8256000.0,0.0,0.0,16831500.0,32802583.0,0.0
2024-04-05,0.0,15877141.0,17865000.0,0.0,8261500.0,8124360.0,0.0,16899500.0,0.0,0.0
2024-05-06,0.0,23409641.0,18043500.0,0.0,8228500.0,8175860.0,0.0,16773000.0,0.0,0.0
2024-09-27,0.0,25716641.0,19759000.0,0.0,7739000.0,0.0,0.0,16742000.0,32796083.0,0.0
2024-10-02,0.0,25716141.0,20087500.0,0.0,0.0,0.0,75851880.0,16737500.0,32795083.0,0.0
2024-10-03,0.0,25694641.0,20508000.0,0.0,7737500.0,8257360.0,75751880.0,16737000.0,32794583.0,0.0
2024-10-04,0.0,25707141.0,20705500.0,0.0,0.0,0.0,75681880.0,16727000.0,32794083.0,0.0
2024-11-13,0.0,24149141.0,22443500.0,0.0,0.0,8467860.0,75246880.0,17440500.0,0.0,0.0
2024-11-14,53040760.0,24391641.0,22325000.0,0.0,7776000.0,0.0,74846880.0,0.0,32792583.0,0.0
