date,ABN AMRO CLEARING HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CHINA PA SECURITIES (HONG KONG) CO LTD,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,1845400.0,1436000.0,148200.0,1900227.0,0.0,319800.0,384800.0,368600.0,301200.0,93896200.0
2024-03-04,1933000.0,1441000.0,0.0,1818827.0,0.0,323400.0,378200.0,373600.0,300200.0,91096800.0
2024-03-05,1775400.0,1447200.0,0.0,5335012.0,0.0,328400.0,375000.0,398600.0,304600.0,87600000.0
2024-03-06,1695800.0,1453800.0,0.0,5337812.0,0.0,331600.0,382600.0,403600.0,310200.0,87624000.0
2024-03-07,1384200.0,1458400.0,0.0,5337412.0,80800.0,328800.0,384400.0,0.0,313400.0,87618600.0
2024-03-08,1347000.0,0.0,0.0,2319151.0,0.0,355200.0,382600.0,408600.0,311000.0,87619400.0
2024-03-11,1336600.0,1453200.0,168200.0,2347751.0,0.0,350000.0,403200.0,0.0,311800.0,69957600.0
2024-03-12,1076800.0,1467200.0,0.0,2371551.0,0.0,351600.0,407400.0,413600.0,314800.0,67158800.0
2024-03-13,1407800.0,1445800.0,208200.0,2904749.0,0.0,356200.0,386600.0,0.0,298800.0,63055000.0
2024-03-14,1043000.0,1440400.0,248200.0,2854049.0,0.0,351800.0,382800.0,418600.0,307800.0,56394600.0
2024-03-15,1092600.0,0.0,268200.0,2851049.0,81400.0,346600.0,386000.0,0.0,291200.0,27993800.0
2024-03-18,1076200.0,0.0,0.0,3209722.0,0.0,350600.0,381600.0,0.0,292200.0,27998400.0
2024-03-19,1071200.0,1459400.0,0.0,3205442.0,0.0,342600.0,0.0,0.0,303800.0,27992000.0
2024-03-20,964200.0,1535400.0,0.0,3206642.0,0.0,354200.0,0.0,412600.0,307200.0,27963600.0
2024-03-21,974400.0,1566600.0,0.0,3152842.0,0.0,355200.0,351600.0,408200.0,306800.0,27968800.0
2024-03-22,69800.0,1576000.0,0.0,3029042.0,0.0,358800.0,351800.0,407200.0,312600.0,27973400.0
2024-03-25,1150400.0,1582600.0,283200.0,2997542.0,0.0,360800.0,354600.0,422200.0,299800.0,70321400.0
2024-03-26,912000.0,1584000.0,0.0,2960542.0,0.0,364400.0,382200.0,444600.0,306800.0,77334500.0
2024-03-27,651000.0,1571600.0,323200.0,2968542.0,0.0,366600.0,383400.0,0.0,299000.0,77337000.0
2024-03-28,575800.0,1569600.0,0.0,2969142.0,0.0,372600.0,0.0,0.0,318600.0,77345000.0
2024-04-02,514600.0,1580600.0,0.0,2974142.0,0.0,384600.0,0.0,460000.0,319400.0,77348800.0
2024-04-03,441800.0,1630600.0,324600.0,944546.0,85000.0,0.0,383600.0,459800.0,323800.0,77349200.0
2024-04-05,447600.0,1610600.0,0.0,954146.0,0.0,386000.0,382800.0,0.0,344800.0,77331200.0
2024-04-08,484400.0,1612600.0,0.0,2971703.0,0.0,388600.0,357600.0,486600.0,346200.0,77297200.0
2024-04-09,813000.0,0.0,0.0,1211603.0,0.0,386600.0,361600.0,0.0,346600.0,92173200.0
2024-04-10,578400.0,0.0,0.0,1241343.0,0.0,0.0,359400.0,0.0,347600.0,93077200.0
2024-04-11,543600.0,1614200.0,0.0,1236343.0,0.0,0.0,0.0,474600.0,351600.0,93080400.0
2024-04-12,387000.0,0.0,0.0,1314399.0,0.0,387600.0,358800.0,486600.0,0.0,93085400.0
2024-04-15,330600.0,0.0,0.0,1379395.0,0.0,389600.0,359600.0,506200.0,347800.0,93086200.0
2024-04-16,242200.0,1616400.0,0.0,1378595.0,0.0,0.0,360000.0,0.0,343000.0,93087000.0
2024-04-17,236400.0,1619400.0,0.0,1375995.0,0.0,0.0,360200.0,494200.0,347800.0,93086800.0
2024-04-18,246800.0,1614200.0,0.0,1353395.0,0.0,390000.0,339000.0,0.0,344800.0,119005600.0
2024-04-19,258400.0,1615600.0,0.0,1452082.0,85200.0,0.0,347600.0,454200.0,0.0,118981200.0
2024-04-22,207200.0,0.0,0.0,1453082.0,0.0,0.0,347800.0,0.0,342400.0,118990200.0
2024-04-23,876000.0,1512400.0,0.0,1598205.0,81000.0,364000.0,347000.0,456400.0,325600.0,0.0
2024-04-24,0.0,1502800.0,0.0,1598405.0,0.0,0.0,346000.0,448200.0,322000.0,118977200.0
2024-04-25,895400.0,1499800.0,0.0,1650724.0,0.0,364800.0,344800.0,0.0,323600.0,118964600.0
2024-04-26,946400.0,1502400.0,0.0,1611724.0,82600.0,358400.0,345200.0,0.0,341200.0,118980000.0
2024-04-29,404400.0,1505000.0,0.0,1614924.0,0.0,355600.0,0.0,449600.0,317400.0,118976200.0
2024-04-30,413800.0,1506600.0,0.0,1674652.0,0.0,359600.0,0.0,450400.0,0.0,118974000.0
2024-05-02,0.0,1505000.0,0.0,1511452.0,0.0,333600.0,347200.0,459000.0,318000.0,118987800.0
2024-05-03,415800.0,1403800.0,0.0,1511652.0,0.0,0.0,347400.0,470000.0,314000.0,118971400.0
2024-05-06,443400.0,0.0,0.0,1473452.0,0.0,332800.0,352400.0,473600.0,317600.0,118961800.0
2024-05-07,1932800.0,0.0,0.0,0.0,82800.0,0.0,0.0,473800.0,309600.0,118944800.0
2024-05-08,1970600.0,1401800.0,0.0,0.0,0.0,328800.0,352000.0,0.0,309800.0,118944200.0
