date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,VMS SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,BOCOM INTERNATIONAL SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,I WIN SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2025-02-28,568799778.0,415516122.0,0.0,1637850202.0,741573705.0,0.0,303278627.0,0.0,289819010.0
2025-03-03,588244778.0,418506122.0,0.0,1648405202.0,745943705.0,0.0,303773627.0,0.0,0.0
2025-03-04,780774778.0,398831122.0,0.0,1608105202.0,733608705.0,309739530.0,300373627.0,0.0,290399010.0
2025-03-05,793499818.0,0.0,0.0,1604755202.0,734283705.0,0.0,299008627.0,0.0,290598950.0
2025-03-06,791999818.0,398661122.0,0.0,1604655202.0,734663705.0,0.0,299058627.0,0.0,290798950.0
2025-03-07,784904818.0,398891122.0,0.0,1606145202.0,732783705.0,308074530.0,298833627.0,0.0,0.0
2025-03-10,784679818.0,401316122.0,0.0,1611440202.0,732533705.0,0.0,299073627.0,0.0,0.0
2025-03-13,785264818.0,402096122.0,0.0,1661455202.0,734943705.0,0.0,295238627.0,0.0,0.0
2025-04-02,792084629.0,390335522.0,722115600.0,1676075202.0,739398705.0,0.0,0.0,0.0,0.0
2025-04-09,796234629.0,390830522.0,685115600.0,1679649842.0,739458705.0,0.0,0.0,0.0,0.0
2025-04-14,822519629.0,0.0,579500600.0,1690454842.0,743858705.0,0.0,0.0,0.0,291098950.0
2025-04-16,846014629.0,0.0,484150600.0,1714889842.0,746023705.0,0.0,0.0,0.0,294098950.0
2025-04-17,860019629.0,391480522.0,467150600.0,1717109842.0,745033705.0,0.0,0.0,0.0,0.0
2025-04-30,888694629.0,399545522.0,302615600.0,1723429842.0,748093705.0,0.0,0.0,0.0,0.0
