date,PRUDENTIAL BROKERAGE LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,KINGKEY SECURITIES GROUP LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-09-24,20980000.0,16590000.0,0.0,24290000.0,12930000.0,0.0,41790000.0,0.0,0.0,0.0
2024-10-25,0.0,17910000.0,11080000.0,0.0,13150000.0,0.0,40520000.0,0.0,0.0,23650000.0
2025-02-26,0.0,18880000.0,11080000.0,23940000.0,12720000.0,0.0,40600000.0,0.0,0.0,0.0
2025-03-12,0.0,19740000.0,11100000.0,22820000.0,12000000.0,0.0,40800000.0,0.0,0.0,0.0
2025-03-13,0.0,19730000.0,11330000.0,22700000.0,11580000.0,9800000.0,40710000.0,0.0,0.0,23750000.0
2025-03-21,0.0,21070000.0,11280000.0,0.0,10860000.0,0.0,40210000.0,0.0,8980000.0,24090000.0
2025-03-24,0.0,20830000.0,11290000.0,22410000.0,0.0,0.0,39330000.0,0.0,8990000.0,24160000.0
2025-03-25,0.0,21110000.0,11280000.0,0.0,10870000.0,0.0,39310000.0,0.0,9020000.0,0.0
2025-03-27,0.0,21060000.0,11330000.0,0.0,0.0,9780000.0,39330000.0,0.0,0.0,24170000.0
2025-04-08,0.0,20320000.0,0.0,22420000.0,11090000.0,9810000.0,39810000.0,0.0,9080000.0,0.0
2025-04-09,0.0,20190000.0,0.0,22390000.0,11110000.0,0.0,39990000.0,0.0,9050000.0,0.0
