date,CHINA CITIC BANK INTERNATIONAL LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,LONG BRIDGE HK LTD,DBS BANK (HONG KONG) LTD,VALUABLE CAPITAL LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD
2024-12-10,2035000.0,3948308.0,328119.0,2050000.0,15642100.0,1996000.0,390000.0,162000.0,3369000.0,26845972.0
2024-12-11,2675000.0,8768308.0,486119.0,2367000.0,17414596.0,2356000.0,522948.0,1502000.0,2609000.0,25545972.0
2024-12-12,5995000.0,8302308.0,414000.0,2187000.0,16720596.0,2436000.0,462948.0,1602000.0,2589000.0,24945972.0
2024-12-13,6995000.0,8162308.0,424000.0,2217000.0,16237596.0,2386000.0,472948.0,0.0,2599000.0,0.0
2024-12-16,7775000.0,7500308.0,384000.0,2337000.0,14907596.0,2346000.0,632948.0,0.0,2489000.0,0.0
2024-12-17,8165000.0,7940308.0,0.0,1932000.0,15030596.0,2246000.0,1062948.0,1582000.0,2359000.0,0.0
2024-12-18,8745000.0,8940308.0,1154000.0,3922000.0,14160596.0,2276000.0,1642948.0,2092000.0,2259000.0,22665972.0
2024-12-19,9155000.0,8730308.0,0.0,3942000.0,12564496.0,0.0,1702948.0,2122000.0,2231000.0,0.0
2024-12-20,11155000.0,9462308.0,1504000.0,3920000.0,12264496.0,0.0,1752948.0,2092000.0,0.0,21185972.0
2024-12-23,11485000.0,9482308.0,1984000.0,5248000.0,12118496.0,2266000.0,1712948.0,2192000.0,2197000.0,21145972.0
2024-12-27,11585000.0,11822308.0,2944000.0,5188000.0,11258496.0,0.0,1842948.0,2072000.0,2137000.0,21085972.0
2024-12-30,11885000.0,11952308.0,3304000.0,5638000.0,10697800.0,0.0,1862948.0,222000.0,2237000.0,20925972.0
2025-01-02,9455000.0,12278108.0,4164000.0,4768000.0,10281500.0,1206000.0,1922948.0,822000.0,2057000.0,20365972.0
2025-01-03,9527000.0,11868308.0,4754000.0,4722000.0,11503039.0,911000.0,2182948.0,1432000.0,2127000.0,19775972.0
2025-01-06,9117000.0,12498544.0,4994000.0,4642000.0,10846298.0,551000.0,2247848.0,1722000.0,2157000.0,19435972.0
2025-01-07,9557000.0,12510544.0,5008000.0,4434000.0,10900944.0,785000.0,2442375.0,2152000.0,2167000.0,19385972.0
2025-01-08,9997000.0,11535544.0,5178000.0,4404000.0,10674944.0,955000.0,2594775.0,2742000.0,2247000.0,19345972.0
