date,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,CHINA INDUSTRIAL SECURITIES,CSC SECURITIES (HK) LTD,EVERBRIGHT SECURITIES INVESTMENT,GF SECURITIES (HONG KONG) BROKERAGE LTD,SINO-RICH SECURITIES & FUTURES LTD,THE CORE SECURITIES COMPANY LTD,THE HONGKONG AND SHANGHAI BANKING,ZHESHANG INTERNATIONAL FINANCIAL
2024-06-12,38532295.0,53568000.0,0.0,0.0,87936000.0,35160000.0,0.0,140951189.0,24300000.0,0.0
2024-06-17,37480295.0,52804000.0,0.0,0.0,87476000.0,34652000.0,0.0,0.0,27572000.0,0.0
2024-06-19,30916295.0,55524000.0,353677421.0,0.0,87440000.0,0.0,0.0,0.0,30008000.0,0.0
2024-06-21,30280295.0,56084000.0,353513421.0,0.0,87460000.0,0.0,0.0,0.0,30176000.0,0.0
2024-10-08,30344295.0,66348000.0,0.0,0.0,87412000.0,0.0,96304000.0,0.0,30528000.0,0.0
2025-02-21,31460295.0,68564000.0,0.0,0.0,87352000.0,0.0,95996000.0,0.0,33804100.0,0.0
2025-02-28,31896295.0,70268000.0,353397421.0,0.0,85700000.0,0.0,0.0,0.0,33436100.0,0.0
2025-03-03,32124295.0,70868000.0,0.0,38040705.0,84900000.0,0.0,0.0,0.0,32416100.0,0.0
2025-03-04,32420295.0,71144000.0,0.0,38008705.0,84620000.0,0.0,0.0,0.0,31992100.0,0.0
2025-03-05,32796295.0,71112000.0,353309421.0,37992705.0,84120000.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,34532295.0,71100000.0,0.0,0.0,82720000.0,0.0,0.0,0.0,32000100.0,29892000.0
2025-03-10,34536295.0,71140000.0,0.0,37988705.0,82600000.0,0.0,0.0,0.0,31988100.0,0.0
2025-04-29,33392295.0,70980000.0,0.0,0.0,77912000.0,35156000.0,0.0,0.0,31412100.0,0.0
