date,YUET SHEUNG INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,WATON SECURITIES INTERNATIONAL LIMITED,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SKY SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,QUAM SECURITIES LTD
2024-03-01,80.60325456338416,8.42590592757142,0.0,5.881255841008868,5.089583668035565,0.0,0.0,0.0,0.0,0.0
2024-03-05,80.61066224976233,8.426680294176114,0.0,5.881796346463841,5.08086110959771,0.0,0.0,0.0,0.0,0.0
2024-03-07,70.12062917165454,7.509971811251573,12.84532649810284,5.116385958915744,4.407686560075306,0.0,0.0,0.0,0.0,0.0
2024-03-08,70.1094195825939,7.5287539435609325,12.84327302492249,5.115568045774454,4.402985403148216,0.0,0.0,0.0,0.0,0.0
2024-03-11,69.93558307202183,7.559215709380851,12.840707106525642,5.114546022016686,4.5499480900550004,0.0,0.0,0.0,0.0,0.0
2024-03-12,69.94955808116346,7.540743556168216,12.84327302492249,5.115568045774454,4.550857291971384,0.0,0.0,0.0,0.0,0.0
2024-03-13,69.95235375323836,7.5530350286555095,12.827799542603177,5.1157724995426435,4.551039175960319,0.0,0.0,0.0,0.0,0.0
2024-03-15,69.79248586262764,7.5530350286555095,12.827799542603177,5.1157724995426435,4.710907066571026,0.0,0.0,0.0,0.0,0.0
2024-03-18,69.69499343624332,7.682173270624173,12.817862746189219,5.1086263280365545,4.69634421890673,0.0,0.0,0.0,0.0,0.0
2024-03-20,66.8022230684813,7.2864628650052605,12.228847455919604,4.878428206562704,4.461856172986686,0.0,4.342182231044445,0.0,0.0,0.0
2024-03-21,66.7336814706221,7.308392978860654,12.240043488432766,4.882894616092358,4.488829761528029,0.0,4.34615768446408,0.0,0.0,0.0
2024-03-22,66.77943279709496,7.268581690372314,12.237242558785603,4.881777247162492,4.487802567762582,0.0,4.345163138822053,0.0,0.0,0.0
2024-03-25,63.31693916538181,6.890920797415287,11.60142003536206,4.628129914998266,4.254625367951921,5.188567521892587,4.119397196998065,0.0,0.0,0.0
2024-03-26,63.14930692518347,7.175184195379863,11.57004444815793,4.6156133184697845,4.170999941776562,5.174535243753234,4.144315927279159,0.0,0.0,0.0
2024-03-27,63.09242992130858,7.334445891563017,11.559623598033793,4.61145615080822,4.091586523806949,5.169874669070153,4.140583245409287,0.0,0.0,0.0
2024-03-28,63.07074178040061,7.716476266199301,11.549055221251791,4.607240130649596,3.8898784446820454,5.165148115220446,4.001460041596216,0.0,0.0,0.0
2024-04-02,63.06847168982445,7.7197978056587875,11.548639538786656,4.607074303324478,3.889738437189658,5.1649622072426755,4.0013160179732985,0.0,0.0,0.0
2024-04-03,63.18445504482081,7.586152835468381,11.569877566654837,4.597517265313507,3.8788622135668542,5.174460608411672,4.008674465763941,0.0,0.0,0.0
2024-04-05,63.21180726837733,7.632726324182563,11.574886106769652,4.5995075067416655,3.7795325606378367,5.176700605626894,4.0248396276640594,0.0,0.0,0.0
2024-04-08,63.159402959320445,7.640816451024461,11.565290211081019,4.595694389804993,3.754772428125381,5.172408979898168,4.111614580745533,0.0,0.0,0.0
2024-04-11,63.16395640622389,7.644972038076944,11.566124005139091,4.596025714190719,3.74422894849404,5.172781882246025,4.111911005629297,0.0,0.0,0.0
2024-04-12,63.25546592358019,7.574187307673356,11.573633565252859,4.599009784858628,3.7069822399209515,5.176140424527163,4.1145807541868535,0.0,0.0,0.0
2024-04-15,63.291993672374225,7.549687931915374,11.580316920965021,4.601665547039333,3.6802496927968686,5.179129458824661,4.116956776084522,0.0,0.0,0.0
2024-04-16,63.29427805746176,7.423635631316791,11.580734886994346,4.60183163402038,3.7092567610060736,5.179316388093525,4.210946641107119,0.0,0.0,0.0
2024-04-17,63.29427805746176,7.463337708159319,11.580734886994346,4.60183163402038,3.669554684163545,5.179316388093525,4.210946641107119,0.0,0.0,0.0
2024-04-19,63.273724526135176,7.460914140814949,11.609447247592316,4.600337282657945,3.668363070806535,5.177634510285608,4.20957922170747,0.0,0.0,0.0
2024-04-23,63.26915888738267,7.521709188517694,11.626648781942128,4.600005336366975,3.6680983729288656,5.177260907989497,4.1371185248721645,0.0,0.0,0.0
2024-04-24,62.161713762832036,7.386506661850511,11.42313927217698,4.5194881685675075,3.603893036064773,5.086639625015196,4.078882380839711,0.0,0.0,1.7397370926532807
2024-04-25,62.18375601770255,7.353666347434516,11.427189864286127,4.521090758072616,3.6051709597901405,5.088443323791533,4.080328733579733,0.0,0.0,1.7403539953427767
