date,WEALTH LINK SECURITIES LTD,VALUABLE CAPITAL LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,SDICS INTERNATIONAL SECURITIES (HONG,BOCI SECURITIES LTD
2024-03-01,0.0,34.76275268690615,0.0,25.174262603073693,19.934366400306093,0.0,4.872975929441427,8.737411642360652,0.0,6.518230737911988
2024-03-04,0.0,34.781861818824325,0.0,25.209696339087202,19.94336112924362,0.0,4.801052285432424,8.74221460929486,0.0,6.521813818117568
2024-03-05,0.0,34.785019851494134,0.0,25.207716808252723,20.041911436325535,0.0,4.702522047673032,8.741528147897313,0.0,6.5213017083572575
2024-03-06,0.0,28.86760669084027,0.0,20.9486440076518,16.660208589107196,16.88780483825575,3.950711952066109,7.265133315114756,0.0,5.419890606964119
2024-03-07,0.0,28.856875996720767,0.0,20.957749236272274,16.656402057272444,16.887253802324018,3.9571088877921845,7.264896259467572,0.0,5.419713760150747
2024-03-08,0.0,28.710608268335193,0.0,20.975727224120128,16.68278865501802,16.957882836000604,3.976212924528687,7.269996367450727,0.0,5.426783724546646
2024-03-11,0.0,28.71091436995414,0.0,20.99812560489058,16.64413853372482,16.95041224441459,3.981558238967,7.285230664940643,0.0,5.429620343108229
2024-03-12,0.0,27.16184653297408,0.0,20.234033510229704,15.937830218475469,16.236513438795285,3.8267325381444985,6.95627761162603,4.462311714543065,5.184454435211866
2024-03-13,0.0,27.173289747260593,0.0,20.187945434189842,15.957027669094328,16.24335383907221,3.828344730467211,6.959208273031897,4.464191674696022,5.186638632187899
2024-03-14,0.0,27.133914764162153,0.0,20.16025054241342,15.955718809767728,16.338232258114775,3.819681134919738,6.953798452028061,4.45928101494607,5.1791230236480565
2024-03-15,0.0,27.13095567300614,0.0,20.16895747241491,15.953978757628986,16.336450490942585,3.819264579300567,6.95304010500446,4.45879470771292,5.1785582139894295
2024-03-18,0.0,27.11743661412572,0.0,20.13555020067814,15.946029064267611,16.323638755990174,3.8173614814757144,7.0274331494594735,4.456572939010195,5.175977794992973
2024-03-19,0.0,27.112792548740284,0.0,20.108748535553453,15.966651487021402,16.358208490481584,3.8042526360037834,7.026229648571751,4.4558097173082984,5.167306936319442
2024-03-20,0.0,21.449972440423586,20.928034093813412,15.886633143546902,12.63429519847514,12.94160757010756,2.987519668915569,5.558720373455355,3.5251623551582596,4.0880551561042155
2024-03-21,0.0,21.447594885263264,20.925714391277975,15.887335392118526,12.640284247830117,12.941404674448176,2.987188526634379,5.558104234467512,3.5247716195537384,4.087602028406309
2024-03-22,0.0,21.44865151137263,20.92674530669302,15.88934972642262,12.63967534047067,12.90632476421848,3.0132000702033124,5.559609694215309,3.528640180311666,4.087803406092292
2024-03-25,0.0,21.452171637080262,20.927776323690168,15.886437468245292,12.641529768594786,12.902033840895443,3.0133485242721436,5.55988360456344,3.528814029037274,4.088004803621191
2024-03-26,0.0,21.443455724605787,20.919273470468195,15.83812217786492,12.620388011831807,12.998981184227132,3.0121242154964647,5.553931059106705,3.527380289146688,4.086343867252306
2024-03-27,0.0,21.440551994115673,20.91644072126082,15.842132637390707,12.623603164979642,12.997220948447517,3.0117163336215995,5.553178982614771,3.529364695889281,4.0857905216799875
2024-03-28,0.0,21.41602718870623,20.90331708367294,15.770679871438018,12.608301167207467,12.971842465437433,2.9938333307702956,5.725621664846909,3.5271502606609566,4.083226967259754
2024-04-02,0.0,21.409969037011074,20.897403967075302,15.752689659837591,12.578906425358289,12.968172999166736,2.992986437165426,5.7916470649730805,3.5261525027134892,4.082071906699014
2024-04-03,0.0,21.407862657144,20.895348014966533,15.762207963499858,12.569060348829703,12.960748203739175,2.9631770373763677,5.834119885998542,3.5258055887769437,4.081670299668879
2024-04-05,0.0,21.39286668899219,20.88071105758448,15.735190652775689,12.56025586275335,12.94183792286635,2.9488120877331507,5.938178790550774,3.5233358014298575,4.07881113531416
2024-04-08,0.0,21.411986136013457,20.90177420892548,15.72769014543654,12.564314689121323,12.921678317377037,2.955477166555439,5.907263830925793,3.5268899215460747,4.082925584098857
