date,QUAM SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CMB WING LUNG BANK LTD,DBS BANK (HONG KONG) LTD,FORTUNE ORIGIN SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-11-11,44088000.0,0.0,987000.0,0.0,0.0,11192998.0,30356000.0,0.0,262152000.0
2024-11-18,34989000.0,0.0,1077000.0,0.0,0.0,11396998.0,30182000.0,2712000.0,264105000.0
2024-11-20,25329000.0,0.0,0.0,0.0,0.0,11432998.0,28856000.0,16920000.0,264240000.0
2024-11-21,0.0,0.0,1062000.0,0.0,0.0,11849998.0,28736000.0,16923000.0,264294000.0
2025-02-04,27897000.0,8751000.0,1011000.0,0.0,0.0,11831998.0,0.0,0.0,263925000.0
2025-02-05,27924000.0,8631000.0,975000.0,0.0,0.0,11909998.0,0.0,0.0,264003000.0
2025-02-07,28551000.0,0.0,0.0,113655000.0,3900000.0,11978998.0,28676000.0,0.0,263682000.0
2025-02-12,28842000.0,8568000.0,0.0,113781000.0,0.0,11930998.0,0.0,0.0,263424000.0
2025-02-20,29196000.0,0.0,0.0,113808000.0,0.0,11852998.0,28742000.0,0.0,263412000.0
2025-02-27,29436000.0,0.0,0.0,113838000.0,3885000.0,11894998.0,0.0,0.0,263361000.0
2025-03-13,29628000.0,8553000.0,0.0,113943000.0,3726000.0,11867998.0,0.0,0.0,263379000.0
2025-04-09,31263000.0,0.0,0.0,0.0,33084000.0,11630998.0,0.0,16656000.0,263175000.0
