date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,INTERACTIVE BROKERS HONG KONG LTD,QUAM SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-11,1892707.0,12011.0,997.0,969.0,0.0,7560.0,0.0,7676.0,0.0,0.0
2024-08-07,1072237.0,2245.0,5779.0,0.0,0.0,0.0,0.0,19072.0,0.0,2861.0
2024-09-16,612575.0,3686.0,4895.0,0.0,0.0,0.0,0.0,18687.0,0.0,2835.0
2024-09-25,612093.0,7924.0,4884.0,0.0,0.0,0.0,0.0,18911.0,0.0,2805.0
2024-10-09,610690.0,9814.0,3817.0,1507.0,0.0,0.0,0.0,18698.0,0.0,0.0
2024-10-10,610596.0,9863.0,3576.0,0.0,0.0,0.0,0.0,18752.0,0.0,2717.0
2024-10-17,609625.0,10555.0,3700.0,1510.0,0.0,0.0,0.0,18998.0,0.0,0.0
2024-11-04,609531.0,0.0,4111.0,1710.0,0.0,0.0,0.0,18735.0,0.0,2180.0
2024-12-04,435123.0,11282.0,3074.0,2890.0,0.0,0.0,0.0,18447.0,0.0,0.0
2024-12-06,434593.0,11280.0,3049.0,3290.0,0.0,0.0,0.0,18659.0,0.0,0.0
2024-12-18,430997.0,11167.0,2960.0,0.0,0.0,0.0,0.0,18690.0,0.0,2757.0
2024-12-30,426683.0,15571.0,3236.0,3390.0,0.0,0.0,0.0,18002.0,0.0,0.0
2025-01-03,424496.0,0.0,3354.0,3635.0,1620.0,0.0,0.0,17247.0,0.0,0.0
2025-01-07,419881.0,17941.0,3599.0,3735.0,0.0,0.0,0.0,17652.0,0.0,0.0
2025-01-09,419985.0,0.0,3410.0,3785.0,0.0,0.0,0.0,17805.0,12.0,0.0
2025-01-13,411412.0,0.0,3934.0,0.0,0.0,0.0,0.0,17707.0,92.0,2957.0
2025-01-20,405246.0,17528.0,3978.0,0.0,0.0,0.0,0.0,17549.0,1753.0,0.0
2025-01-21,405245.0,17529.0,3903.0,0.0,0.0,0.0,0.0,17459.0,1843.0,0.0
2025-01-22,404459.0,17462.0,3906.0,4631.0,0.0,0.0,0.0,17349.0,0.0,0.0
2025-02-05,408105.0,18062.0,4657.0,3681.0,0.0,0.0,0.0,17531.0,3933.0,0.0
2025-02-11,0.0,18057.0,4727.0,3683.0,0.0,0.0,0.0,17117.0,4986.0,0.0
2025-02-12,404714.0,0.0,4730.0,0.0,1708.0,0.0,0.0,16720.0,7656.0,0.0
2025-02-17,403273.0,0.0,4702.0,2150.0,1803.0,0.0,0.0,15278.0,0.0,3073.0
2025-02-24,396588.0,0.0,4224.0,0.0,0.0,0.0,0.0,14541.0,8109.0,2865.0
2025-02-27,392552.0,18002.0,4404.0,2266.0,0.0,0.0,0.0,14691.0,0.0,0.0
2025-02-28,391102.0,18288.0,4616.0,0.0,0.0,0.0,0.0,14459.0,8083.0,0.0
2025-03-06,392787.0,0.0,4295.0,0.0,0.0,0.0,0.0,14970.0,7998.0,2871.0
2025-03-13,386356.0,0.0,5410.0,0.0,2029.0,0.0,0.0,15430.0,0.0,2820.0
2025-03-17,388500.0,0.0,5363.0,0.0,1099.0,0.0,0.0,15394.0,0.0,11460.0
2025-03-20,389135.0,19293.0,4381.0,0.0,0.0,0.0,0.0,15925.0,0.0,11160.0
2025-03-28,361621.0,0.0,7442.0,25266.0,1160.0,0.0,0.0,15884.0,0.0,0.0
2025-04-08,367000.0,20127.0,8408.0,0.0,0.0,0.0,504796.0,15728.0,0.0,10648.0
2025-04-09,370222.0,20667.0,7149.0,0.0,0.0,0.0,0.0,15398.0,0.0,10593.0
2025-04-11,369541.0,0.0,7000.0,0.0,0.0,0.0,505596.0,16401.0,0.0,10135.0
2025-04-14,366597.0,21713.0,6973.0,0.0,1165.0,0.0,0.0,16829.0,0.0,0.0
2025-04-24,359416.0,21725.0,7074.0,0.0,0.0,0.0,0.0,17223.0,0.0,10225.0
2025-04-30,348328.0,0.0,7247.0,25163.0,0.0,0.0,0.0,17307.0,0.0,10220.0
