date,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,53.564479037679114,46.43552096232089,0.0,0.0,0.0,0.0,0.0
2024-04-05,33.839840283939665,29.11490683229814,22.460070984915706,0.0,0.0,14.585181898846495,0.0
2024-04-09,33.84359400998336,29.10704381586245,22.462562396006653,0.0,0.0,14.586799778147533,0.0
2024-04-10,33.865779256794234,29.10704381586245,22.462562396006653,0.0,0.0,14.564614531336662,0.0
2024-04-12,33.97670549084859,29.10704381586245,22.462562396006653,0.0,0.0,14.453688297282309,0.0
2024-04-15,33.988015978695074,29.116733244562802,22.470039946737682,0.0,0.0,14.42521083000444,0.0
2024-04-16,34.010659560293135,29.136131467910282,22.41838774150566,0.0,0.0,14.434821230290918,0.0
2024-04-23,34.232733733066844,29.136131467910282,22.196313568731956,0.0,0.0,14.434821230290918,0.0
2024-04-24,34.37119113573407,29.074792243767313,22.149584487534625,0.0,0.0,14.40443213296399,0.0
2024-04-30,34.3784622202526,29.07157101706182,22.147130511854645,0.0,0.0,14.402836250830934,0.0
2024-05-02,34.42205491585474,29.052258635961024,22.132418069087688,0.0,0.0,14.393268379096547,0.0
2024-05-08,34.45638922752965,29.08123683918874,22.05474897484207,0.0,0.0,14.407624958439543,0.0
2024-05-13,34.43730615861764,29.065130704474967,22.042534337616303,0.0,0.0,14.455028799291094,0.0
2024-05-16,34.44112108120084,29.068350504043426,22.04497618256342,0.0,0.0,14.445552232192313,0.0
2024-05-23,34.46290143964563,29.058693244739757,22.03765227021041,0.0,0.0,14.44075304540421,0.0
2024-05-28,44.935237462637,29.049042400088567,22.03033322262814,0.0,0.0,3.9853869146462966,0.0
2024-05-30,44.941332742971,29.045826876245297,22.027894620323224,0.0,0.0,3.9849457604604828,0.0
2024-05-31,39.96516353783627,25.39191019934198,19.25682214050706,11.902457905941551,0.0,3.4836462163731374,0.0
2024-06-03,35.456678543495265,22.803510906404796,17.189536803684714,10.567480663943686,8.959763622143043,5.0230294603284955,0.0
2024-06-04,35.428968391802705,22.78568947551233,17.176102813476902,10.281347690170199,8.952761375477596,5.375130253560264,0.0
2024-06-05,35.42589215941652,22.783711035860033,17.17461144395242,10.280454979595381,8.95198402361726,5.383346357558392,0.0
2024-06-06,35.41974129698758,22.692942095668027,17.08481639031166,10.278670023439535,8.9504297248025,5.573400468790694,0.0
2024-06-11,35.41974129698758,22.692942095668027,17.07613508117024,10.243944786873861,8.9504297248025,5.616807014497787,0.0
2024-06-13,35.413592570089406,22.68900269073865,17.073170731707318,10.242166478604288,8.948875965627984,5.633191563232359,0.0
2024-06-14,35.376744992629845,22.665394953611376,17.055406225613456,10.231509581201768,8.939564727304257,5.731379519639296,0.0
2024-06-17,35.37981269510926,22.667360388484216,16.97884148456469,10.232396808879638,8.940339923690601,5.801248699271592,0.0
2024-06-18,34.922010398613516,22.65164644714038,16.889081455805893,10.216637781629116,8.93414211438475,6.386481802426343,0.0
2024-06-21,34.92503683161453,22.43695294219603,16.890545107894965,10.217523182251496,8.934916370569374,6.595025565473611,0.0
2024-06-24,34.976566568304115,22.47005728172192,16.915466064919286,10.23259850720361,8.948099288318,6.457212289533067,0.0
2024-06-25,34.922010398613516,22.435008665511265,16.889081455805893,10.216637781629116,8.93414211438475,6.6031195840554595,0.0
2024-07-03,34.91898449007885,22.43306472576033,16.887618057360715,10.215752534442423,8.933367992375011,6.6112121999826705,0.0
2024-07-05,34.922010398613516,22.435008665511265,16.889081455805893,10.216637781629116,8.93414211438475,6.6031195840554595,0.0
2024-08-22,34.928063789218236,22.438897555902237,16.86600797365228,10.218408736349453,8.935690760963771,6.612931183914022,0.0
2024-09-24,34.91293424586329,22.429177856709696,16.858702243784112,10.21398250021658,8.931820150740709,6.653383002685611,0.0
2024-10-02,34.928063789218236,22.438897555902237,16.86600797365228,10.17507366961345,8.935690760963771,6.6562662506500265,0.0
2024-10-03,34.96139498568578,22.43428472282467,16.88210288886961,10.11538127873688,8.944217923136982,6.662618200746075,0.0
2024-10-04,34.91293424586329,22.377198302001215,17.17924283115308,10.084033613445378,8.923156891622629,6.523434115914408,0.0
2024-10-07,35.06177135896989,22.472594397076737,16.843570558552287,10.12702279450148,8.96119714633722,6.53384374456238,0.0
2024-10-08,35.0739773716275,22.48041775456919,16.849434290687554,10.130548302872063,8.96431679721497,6.5013054830287205,0.0
2024-10-09,35.06482206560515,22.474549725920127,16.845036108935872,10.127903941529627,8.988079700687376,6.499608457321848,0.0
2024-10-18,35.0739773716275,22.48041775456919,16.82332463011314,10.130548302872063,8.990426457789383,6.5013054830287205,0.0
2024-10-22,35.092302333681644,22.49216300940439,16.83211424590735,10.13584117032393,8.995123650296064,6.4524555903866245,0.0
2024-10-24,35.04347826086956,22.460869565217394,16.808695652173913,10.121739130434783,8.982608695652173,6.5826086956521745,0.0
2024-11-06,35.06177135896989,22.38559248303463,16.817469984339656,10.12702279450148,8.987297720549853,6.620845658604489,0.0
2024-11-12,35.06482206560515,22.387540241886366,16.818933263725746,10.127903941529627,8.988079700687376,6.612720786565736,0.0
2024-11-18,34.994789857589446,22.5425494963529,16.78534213268496,10.107676276484892,8.970128516846126,6.599513720041681,0.0
2024-12-16,32.95175797219951,21.16107931316435,15.80539656582175,9.517579721995094,8.446443172526575,6.214227309893704,5.903515944399019
2024-12-17,32.93559986923832,21.13435763321347,15.797646289637136,9.602811376266754,8.442301405688134,6.186662307943772,5.900621118012422
2025-01-09,32.93290839257988,21.132630546702625,15.796355315845387,9.602026640516465,8.441611506088094,6.19432867532892,5.900138922938629
2025-01-13,32.93290839257988,21.124458609136227,15.796355315845387,9.602026640516465,8.441611506088094,6.202500612895317,5.900138922938629
2025-01-20,33.081595797077654,21.21983253981284,15.416187818092267,9.645378427187653,8.479724183221146,6.230504022328025,5.926777212280414
2025-02-04,33.08702791461412,21.223316912972084,15.41871921182266,9.638752052545156,8.48111658456486,6.223316912972086,5.927750410509032
2025-02-05,33.08974464241727,21.22505952869694,15.419985220461449,9.6395434764759,8.481812956728795,6.215617045734461,5.928237129485179
2025-02-10,33.07345096430037,21.214608124743535,15.412392285597045,9.634796881411571,8.477636438243742,6.261797291752154,5.925318013951579
2025-02-14,33.081595797077654,21.34296503037268,15.416187818092267,9.440157609587917,8.479724183221146,6.31259234936792,5.926777212280414
2025-02-17,33.17485039757357,21.313222395278302,15.394704483974095,9.427002213296172,8.467907205508649,6.3037953930650055,5.918517911304205
2025-02-19,33.13682141979857,21.288790632932123,15.49168918365676,9.416195856873824,8.458200278391878,6.296569229509539,5.911733398837304
2025-02-20,33.14496314496315,21.294021294021295,15.495495495495495,9.344799344799345,8.46027846027846,6.347256347256347,5.913185913185913
2025-02-25,33.153108871958715,21.299254526091588,15.491111657245844,9.347095928565578,8.445973621692472,6.348816252969608,5.9146391414762025
2025-02-26,33.398660787195816,21.190592846643803,15.441776906745059,9.317328107137024,8.419075616527847,6.336763024661114,5.895802711089336
2025-03-06,33.3959336980485,21.188862578590676,15.440516044745653,9.316567322609618,8.418388176696334,6.3444108761329305,5.8953213031762886
2025-03-10,33.41776288912493,21.20271263992156,15.450608709861916,9.322657079826783,8.423890840754963,6.283193071329357,5.8991747691804886
2025-03-11,33.420493544696846,21.19627390096421,15.45187122078771,9.323418859290735,8.42457917960451,6.283706487988233,5.899656806667756
2025-03-18,33.38775510204081,21.175510204081633,15.436734693877552,9.314285714285713,8.416326530612245,6.375510204081633,5.893877551020408
2025-03-19,33.44484334203655,21.16514360313316,15.429177545691905,9.35052219321149,8.412206266318538,6.307114882506528,5.890992167101828
2025-04-01,33.36046227720355,21.095466753479286,15.390249857573043,9.326930902579962,8.39098233905754,6.5597786278180195,5.876129242288598
2025-04-09,33.3496054023269,21.088601415670002,15.38524123342283,8.990318118948824,8.38825156618664,6.923765356765113,5.874216906679684
2025-04-11,33.36589336589337,21.09076109076109,15.392755392755392,8.945868945868945,8.392348392348392,6.9352869352869355,5.877085877085877
2025-04-29,33.29267300967716,21.05391558916809,15.377734406765878,8.937139139627552,8.384158737903553,7.083028380905912,5.871350735951858
2025-04-30,33.28996584810538,21.052203610343145,15.376483981135145,8.936412424784518,8.383476988128152,7.090583834769881,5.870873312733778
