date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CMB WING LUNG BANK LTD,DBS BANK LTD,FIRST SHANGHAI SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,ZINVEST GLOBAL LTD
2024-03-04,71010117.0,118669500.0,20711968.0,110963000.0,0.0,0.0,0.0,354692096.0,0.0
2024-03-07,71720117.0,120639500.0,20721968.0,111173000.0,0.0,0.0,0.0,360602096.0,40000.0
2024-03-15,83540117.0,128959500.0,20641968.0,111193000.0,0.0,0.0,0.0,363652096.0,140000.0
2024-03-18,96110117.0,130659500.0,20661968.0,111493000.0,0.0,0.0,0.0,367992096.0,40000.0
2024-03-19,103120117.0,129729500.0,22821968.0,111353000.0,21001000.0,0.0,0.0,355922096.0,80000.0
2024-03-20,79630117.0,136169500.0,22331968.0,110968000.0,0.0,0.0,774799142.0,350914096.0,250000.0
2024-03-21,156240117.0,161659500.0,21021968.0,111038000.0,35801000.0,0.0,454799142.0,340464096.0,1120000.0
2024-03-22,156590117.0,158469500.0,20901968.0,111798000.0,54051000.0,0.0,0.0,338594096.0,0.0
2024-03-25,159400117.0,155489500.0,20871968.0,111408000.0,68021000.0,0.0,0.0,339104096.0,0.0
2024-03-26,156890117.0,149699500.0,20401968.0,111538000.0,69501000.0,0.0,0.0,343154096.0,0.0
2024-03-27,158170117.0,146959500.0,20411968.0,0.0,84661000.0,0.0,0.0,338554096.0,0.0
2024-03-28,156550117.0,147459500.0,0.0,111058000.0,87881000.0,0.0,0.0,333339096.0,0.0
2024-04-02,159430117.0,147672500.0,20421968.0,111028000.0,88881000.0,0.0,0.0,334119096.0,0.0
2024-04-03,161650117.0,146352500.0,20341968.0,0.0,91001000.0,0.0,0.0,330558096.0,0.0
2024-09-23,161705117.0,146352500.0,20341968.0,111028000.0,0.0,0.0,0.0,328973096.0,0.0
