date,CMB WING LUNG BANK LTD,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ZHESHANG INTERNATIONAL FINANCIAL
2024-03-01,13956000.0,53251333.0,4559332.0,0.0,26241615.0,0.0,0.0,28087332.0,28991333.0
2024-03-05,13996000.0,53151333.0,4473332.0,0.0,26227615.0,0.0,0.0,27695332.0,0.0
2024-03-11,13944000.0,0.0,4463332.0,0.0,26133615.0,0.0,0.0,27315332.0,29013333.0
2024-03-12,0.0,52981333.0,4471332.0,0.0,26027615.0,0.0,0.0,27319332.0,29011333.0
2024-03-28,12532000.0,0.0,4545332.0,0.0,33329615.0,0.0,0.0,27639332.0,29143333.0
2024-04-03,0.0,0.0,4625332.0,0.0,32989615.0,23176666.0,0.0,27589332.0,31265333.0
2024-04-08,12132000.0,52521333.0,4923332.0,0.0,33161615.0,18256666.0,0.0,27489332.0,31447333.0
2024-04-09,0.0,52511333.0,5243332.0,0.0,33167615.0,0.0,0.0,27233332.0,26807333.0
2024-04-18,12168000.0,0.0,0.0,0.0,35527615.0,0.0,28816000.0,26843332.0,27895333.0
2024-04-23,12184000.0,52497333.0,0.0,0.0,35905615.0,0.0,0.0,27043332.0,26587333.0
2024-04-24,12590000.0,52997333.0,0.0,0.0,36299615.0,0.0,0.0,27093332.0,26591333.0
2024-04-25,12540000.0,52993333.0,14497332.0,0.0,0.0,0.0,0.0,27025332.0,26633333.0
2024-04-26,12692000.0,53993333.0,14597332.0,0.0,36355615.0,0.0,28848000.0,27033332.0,26795333.0
2024-05-02,12410000.0,54065333.0,19407332.0,0.0,37299615.0,21356666.0,0.0,27133332.0,26735333.0
2024-05-03,0.0,53993333.0,19607332.0,0.0,38083615.0,0.0,0.0,27083332.0,26745333.0
2024-05-06,12434000.0,54095333.0,19897332.0,0.0,37801615.0,0.0,0.0,27325332.0,26795333.0
2024-05-07,12234000.0,0.0,20119332.0,0.0,40089615.0,0.0,0.0,27655332.0,25521333.0
2024-05-17,10240000.0,54541333.0,21623332.0,0.0,43169615.0,22406666.0,0.0,27799332.0,22997333.0
2024-05-20,10274000.0,0.0,21673332.0,0.0,42943615.0,0.0,0.0,27819332.0,22999333.0
2024-05-31,10760000.0,0.0,21549332.0,0.0,41611615.0,0.0,0.0,27989332.0,25021333.0
2024-06-03,11508000.0,0.0,21599332.0,0.0,42143615.0,0.0,0.0,28589332.0,26281333.0
2024-07-12,12934000.0,54073333.0,0.0,0.0,40215615.0,22374666.0,0.0,28641332.0,0.0
2024-10-04,0.0,54523333.0,19009332.0,21362667.0,41567615.0,24125333.0,0.0,31185332.0,24809333.0
2024-10-09,0.0,54335333.0,19337332.0,0.0,43289615.0,0.0,28932000.0,30337332.0,0.0
2024-10-10,13078000.0,0.0,19497332.0,0.0,43487615.0,0.0,29048000.0,30059332.0,0.0
2025-03-13,14000000.0,55891333.0,19313332.0,0.0,41673615.0,0.0,0.0,36941332.0,0.0
2025-03-14,13674000.0,57231333.0,19523332.0,0.0,42043615.0,22191333.0,0.0,37023332.0,0.0
2025-03-17,13572000.0,56861333.0,19713332.0,0.0,39747615.0,0.0,0.0,38553332.0,0.0
2025-03-18,13612000.0,0.0,19533332.0,0.0,39609615.0,0.0,21624000.0,39059332.0,0.0
2025-04-14,14396000.0,58351333.0,19251332.0,0.0,40083615.0,0.0,0.0,40183332.0,0.0
