date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,ABN AMRO CLEARING HONG KONG LTD,BOCI SECURITIES LTD,THE BANK OF EAST ASIA LTD
2024-03-01,40587301.0,32126700.0,27770300.0,0.0,11638800.0,8812300.0,9255500.0,5443500.0,8969300.0,0.0
2024-03-04,40567301.0,32246700.0,27805700.0,11647100.0,11577300.0,8772800.0,9225500.0,5562800.0,8979300.0,0.0
2024-03-05,41030301.0,32231700.0,27827100.0,11630300.0,11590800.0,8897800.0,9408500.0,4382400.0,8978200.0,9813400.0
2024-03-06,40932301.0,32274700.0,27639100.0,11395700.0,11601800.0,9028800.0,9449900.0,4818300.0,8982200.0,9778400.0
2024-03-07,40960301.0,32269700.0,27649100.0,11510700.0,11598800.0,8828800.0,9464400.0,4797500.0,0.0,0.0
2024-03-08,40843301.0,32132200.0,27669100.0,11564700.0,11569300.0,8798800.0,9435400.0,5518300.0,0.0,0.0
2024-03-11,40871301.0,32145600.0,28079100.0,11595700.0,11579300.0,8778800.0,9500200.0,4354100.0,8972200.0,0.0
2024-03-12,40943301.0,32228800.0,28283200.0,11701200.0,11616500.0,8960800.0,9501500.0,3079300.0,0.0,0.0
2024-03-13,0.0,32252700.0,28513200.0,12077300.0,11713100.0,8877800.0,9371500.0,2195000.0,8992200.0,0.0
2024-03-14,40916301.0,32282700.0,28432200.0,12256500.0,11677200.0,8893200.0,9422500.0,2523600.0,8953300.0,0.0
2024-03-15,40987601.0,31852700.0,28662200.0,12252500.0,11691100.0,9023200.0,9433300.0,775500.0,0.0,0.0
2024-03-18,41026601.0,31847700.0,0.0,0.0,11673100.0,9068200.0,9394200.0,2185100.0,0.0,0.0
2024-03-19,40937601.0,0.0,28647200.0,12246700.0,11710200.0,8819200.0,9389200.0,2306200.0,8913300.0,0.0
2024-03-20,40887601.0,0.0,28640700.0,12008700.0,11715200.0,8753100.0,9330600.0,2704100.0,8863300.0,9798400.0
2024-03-21,40915601.0,31822500.0,28670700.0,12047700.0,0.0,8758100.0,9313900.0,2125500.0,8893300.0,0.0
2024-03-22,0.0,0.0,0.0,12071800.0,11655200.0,8770200.0,9165300.0,3019800.0,0.0,0.0
2024-03-25,0.0,32049000.0,28678400.0,11771800.0,11843400.0,8951100.0,9580600.0,0.0,8923300.0,0.0
2024-03-26,41182301.0,0.0,29080700.0,11860400.0,0.0,8863400.0,9550600.0,15000000.0,0.0,0.0
2024-03-27,41372601.0,32055000.0,29127800.0,11930700.0,11901400.0,8883400.0,9542100.0,14414500.0,0.0,9828400.0
2024-03-28,41617601.0,0.0,29157800.0,11919900.0,0.0,8874400.0,9462200.0,15500900.0,0.0,0.0
2024-04-02,41587601.0,32065000.0,29187800.0,11957900.0,11696400.0,8854400.0,9422200.0,16649800.0,0.0,0.0
2024-04-03,41687601.0,32080000.0,29322800.0,11987500.0,0.0,8905100.0,9446700.0,16066900.0,0.0,0.0
2024-04-05,41688601.0,32000000.0,29282800.0,12092200.0,11834900.0,0.0,9422200.0,15323700.0,0.0,0.0
2024-04-08,41548601.0,32005000.0,29217800.0,12023400.0,11833400.0,8762200.0,9402300.0,15264400.0,0.0,0.0
2024-04-09,41458601.0,0.0,29152800.0,12087300.0,11767400.0,8726700.0,9365300.0,14951100.0,8893300.0,0.0
2024-04-10,0.0,32055000.0,0.0,12139700.0,11829300.0,8899300.0,0.0,14589900.0,8913300.0,0.0
2024-04-11,41475601.0,32071600.0,29147800.0,12174300.0,0.0,8885800.0,0.0,14343900.0,0.0,0.0
2024-04-12,41450601.0,32019600.0,29152800.0,12269300.0,11780400.0,8896800.0,9399700.0,14561900.0,8883300.0,0.0
2024-04-15,41095601.0,31969600.0,29132800.0,12169300.0,11730400.0,8642100.0,9380000.0,15787600.0,0.0,0.0
2024-04-16,41395601.0,31974600.0,29187700.0,12292300.0,11743400.0,8913900.0,9440800.0,5733900.0,8873300.0,0.0
