date,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,DBS BANK (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD
2024-03-06,13489000.0,53868000.0,46017360.0,7333000.0,0.0,0.0,0.0,0.0,15018083.0,0.0
2024-03-07,13549000.0,53856000.0,46020360.0,7450000.0,0.0,0.0,0.0,0.0,14928083.0,0.0
2024-03-08,13636000.0,0.0,46420360.0,7466000.0,0.0,0.0,0.0,0.0,14808083.0,14128909.0
2024-03-11,13772000.0,53771000.0,46425360.0,7500000.0,0.0,0.0,3798000.0,0.0,14645083.0,0.0
2024-03-14,2794000.0,53637000.0,46427360.0,7791000.0,0.0,0.0,0.0,0.0,25744083.0,0.0
2024-03-15,2782000.0,53010000.0,46413360.0,7867000.0,0.0,0.0,0.0,0.0,26364083.0,14133909.0
2024-03-18,2828000.0,52203000.0,46416360.0,8013000.0,0.0,0.0,0.0,0.0,26695083.0,0.0
2024-03-19,2830000.0,51945000.0,46419360.0,7907000.0,0.0,0.0,3805000.0,0.0,27086083.0,0.0
2024-03-21,2839000.0,51376000.0,46423360.0,7975000.0,0.0,0.0,0.0,0.0,27854083.0,0.0
2024-03-25,0.0,50607000.0,46425360.0,8429000.0,0.0,107000.0,0.0,0.0,28602083.0,0.0
2024-03-26,2868000.0,50505000.0,46427360.0,8430000.0,0.0,0.0,0.0,0.0,28742083.0,0.0
2024-04-03,2908000.0,50418000.0,46907724.0,8398000.0,0.0,0.0,0.0,0.0,28899083.0,0.0
2024-04-05,2896000.0,50417000.0,46787724.0,8373000.0,0.0,0.0,0.0,0.0,28877083.0,0.0
2024-04-08,2923000.0,50412000.0,46577724.0,8408000.0,0.0,0.0,0.0,0.0,28897083.0,0.0
2024-04-12,0.0,50208000.0,45964724.0,7991000.0,0.0,0.0,3943000.0,48260000.0,29040083.0,0.0
2024-04-17,2952000.0,50100000.0,45545724.0,8043000.0,0.0,0.0,0.0,0.0,29197083.0,0.0
2024-04-22,2962000.0,50074000.0,44586824.0,8223000.0,0.0,0.0,0.0,0.0,29895299.0,0.0
2024-04-24,2965000.0,50014000.0,0.0,7465000.0,0.0,0.0,3948000.0,0.0,29989299.0,14183909.0
2024-04-25,2971000.0,49644000.0,0.0,7535000.0,33828000.0,0.0,4198000.0,0.0,30392299.0,0.0
2024-04-26,2966000.0,49636000.0,45094008.0,7550000.0,0.0,111000.0,5098000.0,0.0,30394299.0,0.0
2024-04-29,2967000.0,49604000.0,45104008.0,7532000.0,0.0,0.0,0.0,0.0,30415299.0,14188909.0
2024-04-30,2978000.0,49589000.0,45093008.0,7450000.0,0.0,0.0,5156000.0,48254000.0,30461299.0,0.0
2024-05-02,2991000.0,49307000.0,44528006.0,8152000.0,0.0,0.0,5346000.0,48214000.0,30737299.0,0.0
2024-05-03,2949000.0,49003000.0,44538006.0,8402000.0,0.0,0.0,0.0,0.0,31166299.0,14189909.0
2024-05-06,2969000.0,0.0,45717556.0,8437000.0,0.0,0.0,0.0,0.0,31152299.0,14184909.0
2024-05-07,2971000.0,0.0,45843006.0,8440000.0,0.0,0.0,0.0,0.0,31143299.0,14189909.0
2024-05-09,2987000.0,48753000.0,46228006.0,8472000.0,0.0,0.0,0.0,0.0,31243299.0,0.0
2024-05-10,0.0,48721000.0,46258006.0,8497000.0,0.0,0.0,5356000.0,0.0,31364299.0,0.0
2024-05-13,2992000.0,48605000.0,46301006.0,8527000.0,0.0,0.0,0.0,0.0,31358299.0,14183909.0
2024-05-14,3010000.0,48426000.0,46318006.0,8549000.0,0.0,0.0,0.0,0.0,31347299.0,14185909.0
2024-05-16,3013971.0,48406000.0,0.0,8550000.0,0.0,0.0,0.0,0.0,31354299.0,14196924.0
2024-05-17,0.0,48269000.0,46351006.0,8207000.0,0.0,0.0,5355000.0,0.0,31386299.0,14206924.0
2024-05-20,3027971.0,0.0,47528288.0,8277000.0,0.0,0.0,0.0,48164000.0,31396299.0,0.0
2024-05-21,3064971.0,48259000.0,47375288.0,8230000.0,0.0,0.0,0.0,48144000.0,31413299.0,0.0
2024-05-22,2981029.0,48224000.0,47234288.0,8211000.0,0.0,107000.0,0.0,0.0,31424299.0,14229932.0
2024-05-23,2999029.0,48206000.0,47084288.0,7680000.0,0.0,0.0,5330000.0,48775000.0,31428299.0,14241932.0
2024-05-24,2957029.0,48205000.0,46410422.0,8328000.0,0.0,0.0,5390000.0,48153000.0,32598299.0,0.0
2024-05-27,2959037.0,0.0,46200416.0,8368000.0,0.0,0.0,0.0,0.0,32765299.0,14253936.0
2024-05-28,2939037.0,48157000.0,46083414.0,8441000.0,0.0,0.0,0.0,0.0,32873299.0,0.0
2024-05-29,2944037.0,48139000.0,46059414.0,8464000.0,0.0,0.0,0.0,0.0,33128299.0,0.0
2024-05-31,3027037.0,48133000.0,44127688.0,8507000.0,33814000.0,0.0,0.0,48256000.0,33264299.0,0.0
2024-06-03,3077037.0,0.0,43947532.0,8513000.0,33648000.0,0.0,0.0,48276000.0,33515299.0,0.0
2024-06-04,3135037.0,0.0,43746529.0,8516000.0,33482000.0,0.0,0.0,48303000.0,33665299.0,0.0
2024-06-05,3163037.0,48123000.0,43536529.0,8583000.0,0.0,0.0,0.0,48253000.0,33800299.0,0.0
2024-06-06,3173037.0,0.0,43271538.0,8405000.0,0.0,0.0,0.0,48303000.0,33887299.0,14280936.0
2024-06-07,3176042.0,0.0,43003037.0,7788000.0,0.0,104000.0,0.0,48322000.0,34064299.0,14290931.0
2024-06-11,0.0,0.0,43660026.0,7338000.0,0.0,106000.0,0.0,48362000.0,34364299.0,0.0
2024-06-14,3194042.0,0.0,41756749.0,7579000.0,0.0,0.0,0.0,48152000.0,34669299.0,14692931.0
2024-06-17,3199042.0,48114000.0,41461443.0,0.0,0.0,0.0,5330000.0,0.0,35096299.0,0.0
2024-06-18,3202042.0,47962000.0,42530328.0,7572000.0,0.0,0.0,0.0,0.0,35217299.0,0.0
2024-06-20,3205042.0,47946000.0,42275186.0,7607000.0,0.0,0.0,0.0,0.0,35466299.0,0.0
2024-06-26,3226042.0,47926000.0,38614807.0,0.0,0.0,0.0,0.0,0.0,38896299.0,14678931.0
2024-07-03,3235042.0,47879000.0,36556391.0,7661000.0,0.0,0.0,0.0,0.0,40738299.0,0.0
2024-07-05,3235042.0,0.0,31760025.0,7662000.0,0.0,113000.0,5430000.0,0.0,41354299.0,14700931.0
2024-07-09,3286042.0,0.0,31099301.0,7680000.0,0.0,0.0,0.0,0.0,41410299.0,14708931.0
2024-07-11,3267042.0,47869000.0,30005234.0,0.0,0.0,0.0,0.0,0.0,41689299.0,14713931.0
2024-07-12,3342042.0,47860000.0,30361913.0,7703000.0,0.0,0.0,0.0,0.0,41874299.0,0.0
2024-07-15,3345042.0,47800000.0,30196017.0,7693000.0,0.0,0.0,0.0,0.0,41889299.0,0.0
2024-07-19,3347042.0,47770000.0,28810405.0,8383000.0,0.0,0.0,0.0,0.0,42326299.0,0.0
2024-07-22,0.0,47750000.0,28684905.0,8394000.0,0.0,0.0,0.0,0.0,42347299.0,14725931.0
2024-07-23,3346042.0,0.0,28721778.0,8383000.0,0.0,0.0,0.0,0.0,42427299.0,14708931.0
2024-07-25,3336042.0,0.0,28699813.0,8413000.0,0.0,0.0,0.0,48132000.0,42499299.0,0.0
2024-07-30,0.0,0.0,28510855.0,8504000.0,0.0,0.0,0.0,48102000.0,42520299.0,14693931.0
2024-07-31,0.0,0.0,27518954.0,8566000.0,0.0,0.0,5542000.0,48078000.0,43441220.0,14703931.0
2024-08-01,3397042.0,47744000.0,27438629.0,8598000.0,0.0,0.0,5762000.0,0.0,43447220.0,14700931.0
2024-08-05,3395042.0,0.0,27169633.0,8866000.0,0.0,0.0,6017000.0,0.0,43061220.0,0.0
2024-08-06,3399042.0,0.0,27956121.0,7974000.0,0.0,0.0,6152000.0,0.0,43231220.0,0.0
2024-08-07,3411042.0,47724000.0,27879145.0,7972000.0,33622000.0,0.0,6232000.0,0.0,43550220.0,0.0
2024-08-08,3400042.0,0.0,27810447.0,8068000.0,0.0,0.0,6240000.0,0.0,43519220.0,0.0
2024-08-12,3403042.0,0.0,27551661.0,8029000.0,0.0,0.0,6482000.0,0.0,43524220.0,0.0
2024-08-14,3434042.0,0.0,26448669.0,8967000.0,0.0,0.0,6652000.0,0.0,43619220.0,0.0
2024-08-19,3426042.0,47682000.0,26971655.0,8240000.0,0.0,0.0,0.0,0.0,43852220.0,0.0
2024-08-21,0.0,47672000.0,26974510.0,8278000.0,0.0,0.0,6817000.0,0.0,43738220.0,0.0
2024-08-22,0.0,0.0,26880552.0,8285000.0,0.0,0.0,6997000.0,0.0,43423220.0,14698931.0
2024-08-23,3409042.0,47669000.0,26912516.0,0.0,0.0,0.0,7034000.0,0.0,43452220.0,0.0
2024-08-26,3398042.0,0.0,26899554.0,8300000.0,0.0,0.0,7048000.0,0.0,0.0,14696931.0
2024-08-27,3385042.0,0.0,26700964.0,8291000.0,0.0,0.0,7537000.0,48068000.0,43139220.0,0.0
2024-08-28,3374042.0,0.0,27308964.0,8268000.0,0.0,0.0,8217000.0,48058000.0,42048220.0,0.0
2024-08-30,3359042.0,0.0,28208580.0,8282000.0,0.0,0.0,8365000.0,0.0,41786299.0,0.0
2024-09-02,3320042.0,47167000.0,27285964.0,8909000.0,0.0,0.0,8838000.0,0.0,42958299.0,0.0
2024-09-03,3272042.0,0.0,26376964.0,8147000.0,33689000.0,0.0,10158000.0,0.0,43547299.0,14880931.0
2024-09-04,3376042.0,0.0,26216964.0,8419000.0,0.0,0.0,10192000.0,0.0,43721299.0,0.0
2024-09-05,3374042.0,0.0,25074964.0,8404000.0,0.0,0.0,0.0,0.0,46547299.0,14878931.0
2024-09-09,3386042.0,46976000.0,24305143.0,8286000.0,0.0,0.0,0.0,0.0,47147299.0,0.0
2024-09-10,3385042.0,46965000.0,24840964.0,8516000.0,0.0,0.0,0.0,0.0,47299299.0,0.0
2024-09-12,3392042.0,45519000.0,21250096.0,8598000.0,0.0,0.0,0.0,47888000.0,50975299.0,0.0
2024-09-13,3411042.0,45499000.0,21044096.0,0.0,0.0,0.0,0.0,47658000.0,51270299.0,0.0
2024-09-16,3423042.0,45474000.0,20175275.0,8672000.0,0.0,0.0,10293000.0,47558000.0,52558299.0,0.0
2024-09-17,3494042.0,45274000.0,19132275.0,9130000.0,0.0,114000.0,10887000.0,0.0,54572299.0,14950931.0
2024-09-19,3540042.0,0.0,18172275.0,9469000.0,0.0,0.0,10987000.0,0.0,55218299.0,0.0
2024-09-20,3515042.0,0.0,18790096.0,10016000.0,0.0,0.0,11078000.0,0.0,55287299.0,14050931.0
2024-09-23,3520042.0,44712000.0,18828096.0,9999000.0,0.0,0.0,11213000.0,0.0,55328299.0,14054931.0
2024-09-24,3506042.0,44412000.0,18812096.0,10004000.0,0.0,0.0,0.0,0.0,55566299.0,14057931.0
2024-09-26,3507042.0,44366000.0,20116411.0,10078000.0,0.0,0.0,11603000.0,0.0,54468299.0,14062931.0
2024-09-27,3477042.0,0.0,19529590.0,10144000.0,33789000.0,0.0,0.0,47568000.0,54082299.0,14816931.0
2024-09-30,3498042.0,44365000.0,19554590.0,10216000.0,0.0,0.0,11838000.0,0.0,53013299.0,14849931.0
2024-10-02,3761076.0,44360000.0,19576411.0,10161000.0,0.0,0.0,12839000.0,47525000.0,52815299.0,14856961.0
2024-10-03,3893107.0,44277000.0,19918411.0,9757000.0,0.0,115000.0,12956000.0,47465000.0,53120299.0,14866987.0
2024-10-04,4121063.0,0.0,19896411.0,10450000.0,0.0,112000.0,13140000.0,47469000.0,53359299.0,14527999.0
2024-10-07,4027068.0,0.0,19899411.0,10827000.0,0.0,0.0,0.0,47289000.0,53415299.0,14538999.0
2024-10-09,3551081.0,0.0,22627742.0,10926000.0,0.0,111000.0,12940000.0,47291000.0,53436299.0,14563020.0
2024-10-10,3432063.0,44156000.0,22222342.0,11589000.0,0.0,0.0,0.0,0.0,53566299.0,14572030.0
2024-10-14,3418033.0,44146000.0,22504342.0,11469000.0,0.0,0.0,13120000.0,0.0,54428299.0,14573030.0
2024-10-15,3416032.0,43595000.0,23248342.0,11053000.0,0.0,110000.0,0.0,0.0,54643299.0,0.0
2024-10-16,3457032.0,43508000.0,23012042.0,11502000.0,0.0,0.0,0.0,0.0,54930299.0,14577030.0
2024-10-17,3473032.0,42882000.0,22945042.0,12083000.0,0.0,0.0,13188000.0,47306000.0,55446299.0,0.0
2024-10-21,3497032.0,42797000.0,22956042.0,12485000.0,0.0,0.0,13048000.0,0.0,55484299.0,0.0
2024-10-23,3504032.0,42774000.0,22944042.0,12753000.0,0.0,0.0,0.0,47326000.0,55377299.0,14593030.0
2024-10-25,3505032.0,42754000.0,22954042.0,13097000.0,0.0,0.0,13038000.0,0.0,0.0,0.0
2024-10-28,3503032.0,42734000.0,22937042.0,12955000.0,0.0,0.0,12938000.0,0.0,55409299.0,0.0
2024-10-29,3505032.0,42714000.0,23003042.0,12957000.0,0.0,0.0,13061000.0,0.0,55429299.0,14584030.0
2024-11-01,3550032.0,42712000.0,22946042.0,12848000.0,0.0,0.0,0.0,0.0,0.0,14575530.0
2024-11-04,3423032.0,41888000.0,22757042.0,12224000.0,0.0,0.0,13161000.0,47371000.0,57324299.0,14576530.0
2024-11-05,3445032.0,41767000.0,22697042.0,12311000.0,0.0,0.0,0.0,0.0,57389299.0,14568530.0
2024-11-07,3470032.0,41079000.0,20555175.0,12443000.0,0.0,0.0,0.0,47351000.0,58261299.0,14565030.0
2024-11-08,3487032.0,41056000.0,20397096.0,11762000.0,0.0,0.0,0.0,0.0,57825299.0,15028030.0
2024-11-11,3524032.0,40884000.0,20230096.0,11929000.0,0.0,0.0,0.0,47331000.0,57898299.0,0.0
2024-11-12,3551032.0,40883000.0,21521730.0,13015000.0,0.0,0.0,11888000.0,0.0,57899299.0,14681030.0
2024-11-13,3646032.0,0.0,21460730.0,13243000.0,0.0,0.0,0.0,0.0,57921299.0,14632030.0
2024-11-14,3663032.0,40882000.0,21458730.0,13304000.0,0.0,0.0,0.0,0.0,57935299.0,0.0
2024-11-15,3705032.0,0.0,21448730.0,13273000.0,0.0,0.0,11809000.0,47326000.0,57919299.0,0.0
2024-11-18,3738032.0,0.0,21442730.0,13347000.0,0.0,0.0,11779000.0,0.0,60237335.0,0.0
