date,ASIA PACIFIC SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,YUANTA SECURITIES (HONG KONG) CO LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-22,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,58.306056482880585,41.693943517119415,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,58.29974039739545,41.70025960260455,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,58.30005616917009,41.69994383082991,0.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,0.0,38.718521270200796,27.693972669514665,14.751095967538907,10.587081371990157,0.0,8.249328720755473,0.0
2024-05-08,0.0,0.0,38.71921766104756,27.692672174197526,14.751361280569325,10.587271791105339,0.0,8.249477093080257,0.0
2024-05-16,0.0,0.0,38.726182947543506,27.691537534915415,14.742142048550402,10.58917635906126,0.0,8.250961109929413,0.0
2024-05-20,0.0,0.0,38.74444388772874,27.704595199577263,14.701939567286463,10.594169578154544,0.0,8.25485176725299,0.0
2024-06-13,0.0,0.0,38.743049315717236,27.70359799716116,14.70141038396679,10.597387661994714,0.0,8.254554641160098,0.0
2024-06-19,0.0,0.0,38.743005217889596,27.70361794050597,14.701420967259851,10.597395290872242,0.0,8.254560583472337,0.0
2024-08-06,0.0,0.0,38.74234374285602,27.703917094123813,14.701579718484304,10.597509725353248,0.0,8.25464971918261,0.0
2024-08-13,0.0,0.0,38.728403635724135,27.729930366516754,14.696289857921302,10.59369657398886,0.0,8.251679565848951,0.0
2024-09-13,0.0,0.0,38.72826428531293,27.72983059020695,14.696596793037905,10.593658456332692,0.0,8.251649875109528,0.0
2024-10-04,0.0,0.0,38.68111655675794,27.75279806616025,14.708769378526352,10.598831621898393,0.0,8.258484376657062,0.0
2024-10-07,0.0,30.16164570604003,27.182392949605845,19.579565534928864,9.81422945086395,7.432575050238019,0.0,5.829591308323295,0.0
2024-10-08,0.0,30.242379536218078,27.128225164627146,19.81287184743452,9.932707481368265,7.019069084080565,0.0,5.864746886271427,0.0
2024-10-09,0.0,30.252398633448923,27.097255052846915,19.824746527181798,9.92310044318169,7.027463949806033,0.0,5.875035393534641,0.0
2024-10-10,0.0,30.0182027946209,26.96062793889832,20.16802182726202,9.844125075506248,7.2158051866625845,0.0,5.793217177049929,0.0
2024-10-14,0.0,28.466299156363206,25.59420245100493,19.09604845415835,9.263703886126503,6.961910731598282,0.0,5.493715075748521,5.124120245000205
2024-10-15,30.375380942043478,19.796765785692322,17.807333468729624,13.280265081268903,6.438259932152195,4.891349936587089,0.0,3.8470973832076933,3.563547470318699
2024-10-16,30.391246660029296,19.80710606434056,17.816800440265276,13.243094492277022,6.433331955205719,4.8939047943784,0.0,3.8491068053203716,3.5654087881833543
2024-10-17,30.398908428438414,19.76201035097899,17.8161505310363,13.276453467362826,6.434953826795627,4.895138569536434,0.0,3.850077182259963,3.5663076435914425
2024-10-18,30.404959922320142,19.76544668982882,17.819863073470785,13.262507283049022,6.4332487877928015,4.896113042063086,0.0,3.850843614994462,3.5670175864808833
2024-10-21,30.374927879221087,19.779069136145917,17.79414113090852,13.367571040285625,6.4312033538745235,4.842553139225303,0.0,3.8470400019751168,3.5634943183639063
2024-10-22,30.276031644213024,20.021259929722568,17.74463063727515,13.324048222639979,6.420010393080099,4.82761244725791,0.0,3.834514613482556,3.551892112328715
2024-10-23,28.75710060857093,19.01680487308618,16.854392758424392,12.655588412464425,6.097922176573096,4.620716504634539,4.981639703259135,3.6421392281782183,3.3736957348090852
2024-10-25,28.757506694334033,19.01707341384847,16.86247589357183,12.655767124996952,6.088751032992171,4.620781754856159,4.981710050161902,3.6421906596805775,3.3737433755579067
2024-10-28,28.757281089716415,19.016924223599766,16.86234360628884,12.656452346510369,6.088703266321604,4.620745504505529,4.981670968303975,3.6421620864443853,3.373716908309119
2024-11-04,28.757326210356755,19.01695406146224,16.86237006357939,12.656472204689331,6.08871281959576,4.6205958529086075,4.981678784626504,3.6421678010557583,3.3737222017256547
2024-11-06,28.757777424547747,19.017252445236842,16.861065600217295,12.65667078990636,6.088808353986162,4.620668351944312,4.981756949200852,3.6422249481557984,3.3737751368046243
2024-11-07,28.75416810743517,19.067265023698145,16.85361534052828,12.65508228263767,6.0880441627949295,4.585730741777479,4.980974816887004,3.6417678215622105,3.3733517026791184
