date,SUCCESS SECURITIES LTD,GET NICE SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.
2024-03-01,0.0,0.0,86.63405471877195,0.0,0.0,0.0,0.0,6.330889204853854,7.035056076374198,0.0
2024-03-04,0.0,0.0,86.6245827490413,0.0,0.0,0.0,0.0,6.344143010615344,7.031274240343366,0.0
2024-03-05,0.0,0.0,74.53244282786085,0.0,0.0,0.0,0.0,5.487235763340339,6.063539127261455,13.916782281537365
2024-03-07,0.0,0.0,74.5252543888507,0.0,0.0,0.0,0.0,5.504256556031249,6.062954316412002,13.907534738706062
2024-03-08,0.0,0.0,66.61161697688512,0.0,10.606531947220645,0.0,0.0,4.931393854485102,5.419145415672789,12.431311805736357
2024-03-11,0.0,0.0,66.60929506108498,0.0,10.603838395120718,0.0,0.0,4.937031545062556,5.4189565177007095,12.430878481031028
2024-03-12,0.0,0.0,66.61897077831584,0.0,10.598987243100742,0.0,0.0,4.9406539173693895,5.419743679476007,12.42164438173802
2024-03-13,0.0,0.0,66.61858369565564,0.0,10.598925658778295,0.0,0.0,4.941206249897628,5.419712188614222,12.421572207054213
2024-03-14,0.0,0.0,66.64105889591913,0.0,10.56643554404738,0.0,0.0,4.957024512880751,5.417949284218566,12.417531762934178
2024-03-15,0.0,0.0,66.64687119722784,0.0,10.563249071399195,0.0,0.0,4.957816747028704,5.416910966782794,12.415152017561466
2024-03-18,0.0,0.0,66.64291273995721,0.0,10.562173368385222,0.0,0.0,4.963910033692439,5.416589232090441,12.414414625874697
2024-03-19,0.0,0.0,66.65123572853815,0.0,10.562480052571113,0.0,0.0,4.967538496668554,5.403970630323102,12.41477509189907
2024-03-21,0.0,0.0,66.65007457411582,0.0,10.562296039922439,0.0,0.0,4.969194090323108,5.403876485866109,12.414558809772524
