date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ABCI SECURITIES CO LTD,CMB INTERNATIONAL SECURITIES LTD,MIB SECURITIES (HONG KONG) LTD,SPDB INTERNATIONAL SECURITIES LTD
2024-06-03,2170000.0,83877000.0,136802000.0,0.0,208610000.0,147165000.0,0.0,0.0
2024-06-11,1668000.0,83911000.0,136810000.0,0.0,245878000.0,144881000.0,0.0,0.0
2024-06-12,1758000.0,83939000.0,136822000.0,0.0,0.0,144713000.0,65000.0,0.0
2024-06-21,1478000.0,83998000.0,136815000.0,0.0,245188000.0,140691000.0,0.0,0.0
2024-06-24,1231000.0,83846000.0,136805000.0,0.0,244188000.0,140675000.0,0.0,0.0
2024-06-26,1080000.0,83748000.0,136777000.0,0.0,0.0,86775000.0,20565000.0,33400000.0
2025-03-17,138872000.0,86318000.0,88627000.0,36885000.0,243173000.0,0.0,0.0,0.0
2025-03-18,138919000.0,86550000.0,88628000.0,36435000.0,242696000.0,0.0,0.0,0.0
2025-04-24,139537000.0,89003000.0,88919000.0,27125000.0,0.0,0.0,47577000.0,0.0
2025-04-25,139547000.0,89009000.0,88936000.0,27085000.0,248726000.0,0.0,47547000.0,0.0
2025-04-29,139636000.0,89234000.0,88982000.0,26100000.0,248736000.0,0.0,47147000.0,0.0
