date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BRIGHT SMART SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,KGI ASIA LTD,NANYANG COMMERCIAL BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-14,82000.0,18100.0,8900.0,33700.0,0.0,0.0,0.0,0.0,11700.0,0.0
2024-03-15,81500.0,0.0,6300.0,28700.0,400.0,0.0,281800.0,0.0,0.0,0.0
2024-03-20,79700.0,0.0,0.0,26700.0,400.0,2800.0,281700.0,0.0,0.0,0.0
2024-04-25,93400.0,23200.0,6600.0,26700.0,0.0,0.0,285800.0,0.0,0.0,0.0
2024-04-26,75900.0,22600.0,3800.0,19500.0,400.0,4300.0,0.0,0.0,11700.0,0.0
2024-04-30,62500.0,22000.0,5000.0,13400.0,0.0,0.0,0.0,0.0,10700.0,0.0
2024-05-14,61500.0,25900.0,4200.0,6000.0,800.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,65700.0,0.0,6400.0,6500.0,0.0,7900.0,286200.0,0.0,0.0,0.0
2024-05-17,70900.0,28400.0,7100.0,7500.0,500.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,73900.0,29700.0,4900.0,7000.0,1100.0,0.0,0.0,0.0,0.0,16300.0
2024-05-22,76300.0,29900.0,6400.0,10100.0,0.0,0.0,286300.0,0.0,0.0,0.0
2024-05-23,84600.0,30900.0,0.0,10700.0,1200.0,14100.0,0.0,0.0,11800.0,16700.0
2024-05-24,85200.0,0.0,7400.0,9700.0,1400.0,13500.0,0.0,0.0,0.0,0.0
2024-05-27,97100.0,32900.0,9000.0,9300.0,0.0,12700.0,0.0,0.0,0.0,0.0
2024-05-28,99400.0,33700.0,5500.0,0.0,1500.0,14100.0,0.0,0.0,13400.0,17400.0
2024-05-30,100500.0,36500.0,0.0,9300.0,1600.0,13900.0,0.0,0.0,0.0,18000.0
2024-06-04,100200.0,44400.0,0.0,0.0,1700.0,13300.0,0.0,0.0,12300.0,0.0
2024-06-06,106600.0,45000.0,8300.0,9600.0,0.0,0.0,0.0,0.0,0.0,18200.0
2024-06-12,135500.0,52000.0,3900.0,9100.0,2300.0,15400.0,0.0,0.0,12800.0,0.0
2024-06-26,152400.0,73200.0,6300.0,0.0,0.0,21200.0,0.0,0.0,0.0,19300.0
2024-07-04,161800.0,74900.0,3500.0,0.0,0.0,20800.0,0.0,0.0,0.0,28700.0
2024-07-08,171700.0,0.0,14300.0,9800.0,3100.0,21200.0,0.0,0.0,0.0,29100.0
2024-07-11,160100.0,0.0,0.0,9600.0,3200.0,20600.0,0.0,0.0,0.0,28700.0
2024-07-26,178400.0,72800.0,0.0,0.0,0.0,20500.0,307500.0,0.0,0.0,20300.0
2024-08-07,169300.0,0.0,14700.0,13600.0,0.0,19100.0,305800.0,0.0,0.0,0.0
2024-08-23,203300.0,98300.0,19200.0,15100.0,6600.0,19500.0,310600.0,0.0,15000.0,20500.0
2024-08-27,199700.0,0.0,18200.0,14100.0,7600.0,0.0,0.0,0.0,0.0,20100.0
2024-09-17,227500.0,107000.0,15100.0,18300.0,13800.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,221500.0,104300.0,0.0,16100.0,0.0,0.0,305200.0,0.0,0.0,22000.0
2024-09-26,207000.0,100400.0,14600.0,0.0,0.0,19500.0,0.0,0.0,0.0,20500.0
2024-09-27,199400.0,99600.0,4600.0,15700.0,21400.0,0.0,307800.0,0.0,0.0,19800.0
2024-09-30,194600.0,98900.0,9600.0,15000.0,17900.0,20100.0,306000.0,0.0,0.0,19900.0
2024-10-02,178300.0,108700.0,0.0,14400.0,0.0,19900.0,304300.0,0.0,14500.0,19500.0
2024-10-03,177500.0,102600.0,5900.0,16900.0,15900.0,19300.0,303900.0,2000.0,15800.0,18500.0
2024-10-04,165900.0,104000.0,18700.0,16500.0,15300.0,19100.0,304300.0,0.0,14800.0,18700.0
2024-10-07,158500.0,117100.0,13900.0,15700.0,14300.0,22200.0,304200.0,0.0,0.0,0.0
2024-10-08,160400.0,115100.0,15100.0,0.0,13300.0,21400.0,305000.0,0.0,15800.0,39000.0
2024-10-09,167700.0,115600.0,23400.0,0.0,15900.0,20400.0,7800.0,0.0,18600.0,39200.0
2024-10-10,185900.0,110700.0,15200.0,18500.0,16700.0,21600.0,8200.0,0.0,21600.0,40000.0
2024-10-14,176000.0,111200.0,20200.0,0.0,13700.0,0.0,0.0,0.0,19800.0,0.0
2024-10-15,190300.0,112600.0,15200.0,0.0,0.0,0.0,8500.0,0.0,0.0,40100.0
2024-10-17,198800.0,104900.0,12700.0,18900.0,0.0,22800.0,8600.0,0.0,0.0,40300.0
2024-10-18,216200.0,0.0,15300.0,0.0,10000.0,0.0,0.0,2100.0,0.0,40500.0
2024-10-22,210300.0,105900.0,15200.0,20600.0,0.0,0.0,10300.0,0.0,0.0,0.0
2024-10-23,227200.0,106900.0,4900.0,0.0,9700.0,0.0,10900.0,0.0,0.0,0.0
2024-10-24,0.0,0.0,7700.0,20300.0,10000.0,23800.0,10500.0,0.0,0.0,0.0
2024-10-25,239600.0,107900.0,18500.0,0.0,9700.0,0.0,0.0,0.0,0.0,40200.0
2024-10-28,251600.0,0.0,0.0,21900.0,10100.0,0.0,9700.0,0.0,20800.0,40600.0
2024-10-30,238800.0,108000.0,0.0,19500.0,9700.0,0.0,9300.0,2000.0,19800.0,39800.0
2024-10-31,233900.0,106700.0,10000.0,0.0,0.0,0.0,8800.0,0.0,21800.0,0.0
2024-11-01,327300.0,107700.0,4800.0,21900.0,0.0,0.0,0.0,0.0,0.0,41700.0
2024-11-06,330800.0,107700.0,9800.0,21500.0,9700.0,20900.0,9500.0,0.0,0.0,41200.0
2024-11-07,313200.0,99000.0,4400.0,20500.0,8400.0,19200.0,8700.0,0.0,0.0,46100.0
2024-11-08,299000.0,0.0,9700.0,0.0,0.0,18200.0,9300.0,0.0,18800.0,51300.0
2024-11-11,298500.0,101300.0,0.0,0.0,8300.0,17900.0,0.0,0.0,0.0,51600.0
2024-11-12,283600.0,100900.0,4700.0,0.0,0.0,0.0,9400.0,0.0,0.0,50600.0
2024-11-13,284700.0,0.0,11000.0,20700.0,0.0,18900.0,8300.0,0.0,0.0,0.0
2024-11-14,0.0,99900.0,10700.0,20900.0,8200.0,0.0,8500.0,0.0,0.0,0.0
2024-11-25,309700.0,102600.0,12200.0,20500.0,9200.0,0.0,9200.0,0.0,0.0,41600.0
2024-11-26,323000.0,114100.0,11300.0,13000.0,13400.0,20400.0,9700.0,0.0,0.0,43100.0
2024-11-27,326900.0,0.0,11200.0,14000.0,13800.0,20700.0,0.0,0.0,0.0,0.0
2024-12-06,372300.0,114800.0,3100.0,14800.0,17100.0,0.0,0.0,0.0,0.0,0.0
2024-12-12,324100.0,113100.0,12800.0,16800.0,14300.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,408500.0,123600.0,0.0,19800.0,19900.0,23900.0,47900.0,0.0,0.0,45100.0
2024-12-30,412100.0,124900.0,11600.0,0.0,24700.0,24100.0,59400.0,0.0,21800.0,45700.0
2025-01-02,415400.0,127900.0,0.0,20700.0,25200.0,24400.0,59600.0,0.0,0.0,47200.0
2025-01-03,430300.0,128900.0,0.0,31400.0,25700.0,25400.0,70800.0,0.0,0.0,0.0
2025-01-10,463500.0,134300.0,0.0,0.0,36000.0,24300.0,90200.0,0.0,0.0,48200.0
2025-01-14,479600.0,134800.0,0.0,32500.0,38000.0,25400.0,0.0,0.0,0.0,0.0
2025-01-15,0.0,134600.0,0.0,39400.0,0.0,25900.0,110400.0,0.0,0.0,49100.0
2025-01-20,483900.0,136200.0,0.0,0.0,34600.0,26100.0,113400.0,0.0,0.0,0.0
2025-02-03,487900.0,132000.0,9800.0,49000.0,0.0,27900.0,0.0,0.0,0.0,49400.0
2025-02-04,475100.0,133200.0,3400.0,47500.0,31200.0,26300.0,0.0,0.0,0.0,0.0
2025-02-06,465000.0,131800.0,5400.0,47600.0,27400.0,26000.0,118500.0,0.0,0.0,47700.0
2025-02-07,445000.0,131500.0,4800.0,28600.0,27200.0,25600.0,113800.0,0.0,0.0,47400.0
2025-02-10,448300.0,145500.0,4300.0,29100.0,27300.0,0.0,113900.0,2000.0,0.0,49400.0
2025-02-11,421900.0,139800.0,5500.0,28600.0,0.0,25100.0,110300.0,0.0,20600.0,0.0
2025-02-12,405300.0,137800.0,15400.0,26100.0,25300.0,24100.0,110400.0,0.0,0.0,49200.0
2025-02-14,412900.0,142200.0,0.0,27900.0,25000.0,23700.0,0.0,0.0,0.0,0.0
2025-02-17,279900.0,126100.0,21300.0,14400.0,16800.0,20900.0,109900.0,0.0,17300.0,49100.0
2025-02-18,250100.0,119200.0,18400.0,7400.0,16500.0,20600.0,112100.0,0.0,16800.0,0.0
2025-02-19,230700.0,119700.0,16200.0,0.0,17300.0,19900.0,113400.0,0.0,0.0,51200.0
2025-02-20,182300.0,115500.0,12000.0,7000.0,16700.0,17900.0,112300.0,0.0,14600.0,48700.0
2025-02-21,172400.0,110200.0,9800.0,9100.0,16600.0,0.0,112100.0,0.0,0.0,48200.0
2025-02-24,175800.0,113400.0,10100.0,10600.0,13200.0,16900.0,112700.0,0.0,15100.0,0.0
