date,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHEONG LEE SECURITIES LTD,GRAND CHINA SECURITIES LTD,"INDUSTRIAL BANK CO., LTD.",PATRONS SECURITIES LTD,SUNHIGH FINANCIAL HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,XIN YONGAN INTERNATIONAL SECURITIES
2024-07-03,21900.0,211800.0,6300.0,0.0,0.0,5854800.0,133200.0,4497000.0,4200.0,0.0
2024-07-05,26400.0,327000.0,43200.0,0.0,0.0,0.0,0.0,4610700.0,23100.0,51600.0
2024-07-08,21900.0,303900.0,40800.0,0.0,0.0,0.0,0.0,4382700.0,26400.0,65100.0
2024-07-16,24300.0,273600.0,33300.0,0.0,0.0,0.0,0.0,4583100.0,24000.0,33000.0
2024-07-17,42600.0,296100.0,23700.0,0.0,0.0,0.0,0.0,4695000.0,35700.0,0.0
2024-07-18,60300.0,299100.0,30300.0,300.0,0.0,0.0,0.0,4748100.0,39600.0,26700.0
2024-07-19,74400.0,318000.0,36000.0,0.0,0.0,0.0,0.0,4839600.0,42600.0,19200.0
2024-07-22,76500.0,306900.0,28500.0,0.0,0.0,0.0,0.0,4870800.0,57600.0,17400.0
2024-07-23,95700.0,271500.0,39600.0,0.0,0.0,0.0,0.0,4953600.0,73800.0,3600.0
2024-07-26,105300.0,362700.0,70200.0,0.0,0.0,0.0,0.0,5029200.0,59400.0,0.0
2024-07-30,129000.0,342900.0,74100.0,0.0,0.0,0.0,0.0,5073000.0,57000.0,0.0
2024-07-31,94800.0,350400.0,67800.0,0.0,0.0,0.0,0.0,5057100.0,73800.0,0.0
2024-08-02,83100.0,358500.0,58800.0,0.0,0.0,0.0,0.0,5093100.0,79200.0,0.0
2024-08-12,68400.0,368100.0,40500.0,0.0,0.0,0.0,2400.0,5099100.0,63300.0,0.0
2024-08-15,62400.0,355500.0,39600.0,900.0,0.0,0.0,3600.0,0.0,62100.0,0.0
2024-08-21,9600.0,267900.0,30300.0,0.0,0.0,0.0,0.0,5119200.0,59400.0,0.0
2024-09-04,4800.0,165000.0,22200.0,0.0,0.0,0.0,1449600.0,5245200.0,54000.0,0.0
2024-09-12,2100.0,88800.0,23700.0,0.0,0.0,0.0,0.0,5269800.0,438100.0,0.0
2024-09-17,4200.0,84900.0,27300.0,0.0,0.0,0.0,2387000.0,0.0,412000.0,0.0
2024-09-23,3600.0,102300.0,22200.0,0.0,0.0,0.0,2405600.0,0.0,402700.0,0.0
2024-09-24,4800.0,107400.0,26100.0,0.0,0.0,0.0,2412200.0,5190000.0,396100.0,0.0
2024-09-25,5400.0,116700.0,23700.0,0.0,0.0,0.0,0.0,5273700.0,394000.0,0.0
2024-09-27,7800.0,118800.0,25200.0,0.0,0.0,0.0,2413700.0,0.0,358600.0,0.0
2024-09-30,0.0,116700.0,17400.0,0.0,0.0,0.0,2440400.0,5293800.0,356500.0,0.0
