date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FB SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,EVERBRIGHT SECURITIES INVESTMENT,THE BANK OF EAST ASIA LTD,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,52.095219520212964,15.810392933276681,13.980984930968182,4.266616599386675,4.335794971028747,0.0,0.0,3.242287005248031,3.756832516962922,2.51187152291579
2024-03-04,48.451881090996544,14.687550893659504,13.003557627259704,3.9689041778365186,4.032674381965073,3.5524140854790978,3.4616407107787524,3.0613608746104615,3.6918712785284185,2.0881448788859256
2024-03-05,48.444632388599366,14.669023454975477,13.001695911512556,3.9850204603347366,4.03209702508973,3.551905487337504,3.4611451086360963,3.0900295127271225,2.897749273844086,2.866701376943325
2024-03-06,48.41361736834099,14.595908738990582,12.996792224967516,3.9940807307023847,4.030592402668702,3.5508398401432677,3.4598535433536943,3.117920546866593,3.7192464946608164,2.1211481093054614
2024-03-07,48.43313889109772,14.508383103527853,13.002632878616033,3.9789299568071,4.032143815309021,3.5524355589413097,3.461408373643471,3.139334253282158,2.994888171933389,2.8967049968419487
2024-03-08,48.43704927720538,14.456524528689801,13.003724551406822,3.9504123538227,4.032430360355989,3.5527338137083966,3.4616989859659593,3.1389220201889874,3.323459272831237,2.6430448358247296
2024-03-11,48.42640183271218,14.41665278144125,13.00106141651348,3.9571395965811442,4.030357143201937,3.5520062214444534,3.4609900374394558,3.135056766854548,3.386123111249735,2.63421109256182
2024-03-12,48.41978159128108,14.419771937704862,13.000177045028755,3.972773484986035,4.030082986129948,3.5517646032476646,3.4607546104385394,3.135259277224795,3.4263069085870193,2.583327555371299
2024-03-13,48.43372547944113,14.402183426331694,13.003299035916985,3.9942290067507047,4.0312784947815175,3.552589154704607,3.461558033687239,3.1272020315581814,3.3979152031508093,2.596020133677131
2024-03-14,48.43070694701801,14.391643706368837,13.00149788202308,3.9951310641585622,4.030720101643112,3.5520970672911156,3.461078555462972,3.116737563284745,3.420152812583116,2.600234300166452
2024-03-15,48.413594683557484,14.428187441727502,12.996768352051838,4.011411053855429,4.029269961996882,3.550819122741596,3.4598333568122532,3.1069913924738883,3.2876387490968675,2.7154858856862525
