date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CHINA MERCHANTS SECURITIES (HK) CO LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD
2024-05-03,38256112.0,30838920.0,14779154.0,9672496.0,11518000.0,0.0,0.0,0.0,10012307.0,0.0
2024-06-25,39350112.0,30916920.0,14871154.0,9652496.0,0.0,16282000.0,0.0,0.0,0.0,58714000.0
2024-06-27,45442112.0,30546920.0,14001154.0,9576496.0,11318000.0,16234000.0,0.0,0.0,10372307.0,59112000.0
2024-07-25,45412112.0,0.0,0.0,9571496.0,11144000.0,0.0,0.0,0.0,10246307.0,59790000.0
2024-08-01,45626112.0,30354920.0,14191154.0,9561496.0,0.0,0.0,0.0,0.0,9996307.0,0.0
2024-08-02,46352112.0,30554920.0,13571154.0,9551496.0,0.0,0.0,13300000.0,0.0,9946307.0,0.0
2024-08-13,48216112.0,29874920.0,13521154.0,0.0,11444000.0,0.0,0.0,0.0,9800307.0,0.0
2024-08-29,50130112.0,29474920.0,13477154.0,0.0,11244000.0,0.0,0.0,0.0,9602307.0,0.0
2024-09-12,50814112.0,29290920.0,13525154.0,9381496.0,0.0,0.0,0.0,0.0,0.0,59828000.0
2024-09-23,50478112.0,29024920.0,13477154.0,9387496.0,0.0,0.0,0.0,184295886.0,9550307.0,0.0
2024-10-04,50380112.0,28752920.0,13501154.0,9239496.0,11708000.0,0.0,0.0,0.0,0.0,0.0
2024-10-07,50366112.0,28798920.0,0.0,9241496.0,12386000.0,0.0,0.0,184287886.0,0.0,0.0
2024-10-22,50230112.0,28758920.0,13763154.0,9173496.0,10466000.0,0.0,0.0,0.0,9538307.0,0.0
2024-10-25,50254112.0,28740920.0,13761154.0,0.0,0.0,0.0,0.0,185683886.0,0.0,59928000.0
2024-11-06,50276112.0,0.0,13765154.0,9207496.0,10198000.0,0.0,0.0,0.0,9754307.0,0.0
2024-11-08,50284112.0,0.0,13793154.0,0.0,9900000.0,0.0,0.0,0.0,9804307.0,59938000.0
2024-12-09,50348112.0,28922920.0,13765154.0,9077174.0,0.0,16190000.0,0.0,0.0,0.0,0.0
2024-12-23,50600112.0,28306920.0,13313154.0,0.0,9180000.0,16170000.0,0.0,0.0,9266307.0,0.0
2024-12-27,50972112.0,28068920.0,13335154.0,0.0,9066000.0,0.0,0.0,185445886.0,9288307.0,0.0
2024-12-30,50980112.0,27954920.0,13331154.0,8741174.0,8974000.0,0.0,0.0,0.0,9318307.0,59900000.0
2025-01-02,49814112.0,27704920.0,13023154.0,8739174.0,8626000.0,15060000.0,0.0,195445886.0,8156307.0,0.0
2025-01-03,50262112.0,26120920.0,12311154.0,8773174.0,0.0,14436000.0,0.0,211445886.0,7876307.0,59890000.0
2025-01-06,49954112.0,26220920.0,11987154.0,8815174.0,0.0,0.0,0.0,0.0,0.0,59848000.0
2025-02-04,47432112.0,0.0,11925154.0,8913174.0,0.0,16628000.0,0.0,0.0,7866307.0,0.0
2025-02-17,46056112.0,26726920.0,12015154.0,8319174.0,8326000.0,16740000.0,0.0,0.0,0.0,0.0
2025-02-18,43436112.0,26748920.0,12035154.0,0.0,0.0,17706000.0,13250000.0,212409886.0,8746307.0,0.0
2025-03-17,0.0,27110920.0,12257154.0,8317174.0,7960000.0,0.0,0.0,0.0,8900307.0,0.0
2025-03-19,42420112.0,27164920.0,0.0,8313174.0,7900000.0,0.0,13850000.0,0.0,8916307.0,0.0
2025-04-29,43318112.0,27414920.0,0.0,8401174.0,0.0,17696000.0,0.0,212309886.0,0.0,0.0
