date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,NANYANG COMMERCIAL BANK LTD,OCBC BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,110017579.0,83094540.0,34607811.0,33727927.0,10456407.0,0.0,11816600.0,0.0,0.0,0.0
2024-03-05,109975579.0,83144540.0,34611811.0,0.0,0.0,48803257.0,11786600.0,0.0,0.0,0.0
2024-03-06,110025579.0,0.0,34610811.0,33696927.0,10471407.0,48784257.0,0.0,0.0,0.0,0.0
2024-03-08,110214579.0,83137540.0,34715811.0,0.0,10471407.0,48824257.0,11795600.0,170735000.0,0.0,190378559.0
2024-03-11,110210579.0,83155540.0,0.0,33796927.0,10470407.0,0.0,11766600.0,170815000.0,0.0,0.0
2024-03-18,0.0,83475540.0,34703811.0,0.0,10528407.0,48733257.0,11754600.0,0.0,0.0,0.0
2024-03-19,0.0,83481540.0,34704811.0,33714927.0,10532407.0,0.0,0.0,170814000.0,0.0,0.0
2024-03-20,109986579.0,83551540.0,34705811.0,33734927.0,10678407.0,0.0,0.0,170816000.0,0.0,0.0
2024-03-21,110162579.0,83601540.0,34714811.0,33754927.0,10656407.0,48533257.0,0.0,0.0,0.0,0.0
2024-03-22,109746579.0,83701540.0,34745811.0,0.0,10674407.0,0.0,11763600.0,0.0,0.0,0.0
2024-03-25,109656579.0,83822540.0,34755811.0,33769927.0,10638407.0,48539257.0,11802600.0,0.0,0.0,0.0
2024-03-26,109616579.0,83842540.0,34809811.0,33767927.0,10307407.0,48559257.0,11822600.0,0.0,0.0,0.0
2024-03-27,109627579.0,83967540.0,34808811.0,33636927.0,10316407.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,109794579.0,83881540.0,34819811.0,33616927.0,10395407.0,48042257.0,11863600.0,0.0,0.0,0.0
2024-04-02,0.0,83880540.0,34823811.0,33618927.0,10385407.0,48067257.0,0.0,170815000.0,0.0,0.0
2024-04-03,109789579.0,0.0,34808811.0,33678927.0,10399407.0,47844257.0,0.0,0.0,0.0,190373559.0
2024-04-05,109279579.0,83893540.0,34807811.0,33698927.0,10441407.0,0.0,11931600.0,0.0,0.0,0.0
2024-04-08,108737579.0,83889540.0,34810811.0,33708927.0,10599407.0,47776257.0,11954600.0,0.0,0.0,190453559.0
2024-04-09,108567579.0,83959540.0,34788811.0,33497927.0,10632407.0,47497257.0,11873600.0,170807000.0,0.0,0.0
2024-04-10,108537579.0,83969540.0,34786811.0,33397927.0,10710407.0,47031257.0,0.0,170747000.0,0.0,0.0
2024-04-11,107937579.0,84085540.0,34785811.0,0.0,10734407.0,47041257.0,12011600.0,170807000.0,0.0,0.0
2024-04-12,0.0,84184540.0,34767811.0,0.0,10890407.0,46994257.0,11889600.0,0.0,0.0,0.0
2024-04-16,107703579.0,84219540.0,34764811.0,0.0,10930407.0,47004257.0,0.0,0.0,0.0,0.0
2024-04-17,107636579.0,84229540.0,0.0,0.0,10970407.0,46951257.0,11934600.0,170780000.0,0.0,0.0
2024-04-18,0.0,84129540.0,34762811.0,0.0,11290407.0,0.0,11810600.0,170680000.0,0.0,0.0
2024-04-23,107675579.0,84198540.0,34712811.0,33326927.0,11450407.0,0.0,0.0,170540000.0,0.0,0.0
2024-04-24,107490579.0,84058540.0,34708811.0,33306927.0,11412407.0,46991257.0,11793600.0,0.0,0.0,190588559.0
2024-04-25,107545579.0,84020540.0,34732811.0,0.0,0.0,0.0,11828600.0,170449000.0,0.0,0.0
2024-04-26,107455579.0,83857540.0,34729811.0,0.0,11409407.0,46891257.0,11878600.0,170343000.0,0.0,190598559.0
