date,FUTU SECURITIES INTERNATIONAL,BONUS EVENTUS SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CCB INTERNATIONAL SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,CMB WING LUNG BANK LTD,DONGXING SECURITIES (HONG KONG) CO LTD,HUARONG INTERNATIONAL SECURITIES LTD,KGI ASIA LTD,TIGER FAITH SECURITIES LTD
2024-03-01,2.6539125,0.0,0.0,0.0,0.0,0.06271249999999999,0.0,0.0,0.0,0.0
2024-03-04,2.0089125,0.0,0.48290625,0.0,0.0,0.0477125,0.0,0.0,0.0,0.0
2024-03-05,1.8814125000000002,0.0,0.44540624999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,1.9264125,0.0,0.46790625,0.0,0.0,0.0402125,0.0,0.0,0.0,0.0
2024-03-07,2.0464124999999997,0.0,0.49790625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,1.8889125,0.0,0.5054062500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,1.8664125,0.0,0.5354062500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,1.7989125000000001,0.0,0.55040625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,1.9189125000000002,0.0,0.40040624999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.36290625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,1.775475,0.0,0.62660625,0.0,0.0,0.0552125,0.0,0.0,0.0,0.0
2024-04-10,1.9329749999999999,0.0,0.49910625,0.0,0.0,0.0477125,0.0,0.0,0.0,0.0
2024-04-11,2.150475,0.0,0.96410625,0.0,0.0,0.1452125,0.0,0.0,0.34924374999999996,0.0
2024-04-12,4.130475000000001,0.0,1.78160625,0.04025,0.0,0.33271249999999997,0.0,0.0,0.27424375,0.0
2024-04-15,5.855475,0.0,1.17410625,0.0,0.0,0.3702125,0.0,0.0,0.26674375,0.0
2024-04-16,5.690474999999999,0.0,1.33910625,0.0,0.0,0.0,0.0,0.0,0.34174375,0.0
2024-04-17,5.630475,0.0,1.29410625,0.0,0.0,0.3177125,0.0,0.0,0.0,0.0
2024-04-18,5.637975,0.0,1.27160625,0.0,0.0,0.2952125,0.0,0.0,0.0,0.0
2024-04-19,0.0,0.0,1.22660625,0.03275,0.0,0.0,0.0,0.0,0.28924375,0.0
2024-04-22,0.0,0.0,1.17410625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,5.615475,0.0,1.21160625,0.0,0.0,0.0,0.0,0.0,0.25174375,0.0
2024-04-24,5.592975,0.0,1.21910625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,5.622975,0.0,1.20410625,0.0,0.0,0.0,0.0,0.0,0.31174375,0.0
2024-04-26,5.615475,0.0,0.0,0.0,0.0,0.2652125,0.0,0.0,0.25174375,0.0
2024-04-29,5.660475,0.0,1.1666062499999998,0.0,0.0,0.2802125,0.0,0.0,0.0,0.0
2024-04-30,5.690474999999999,0.0,1.1216062500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
