date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,TOYO SECURITIES ASIA LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2024-03-01,0.0,0.0,54.0165,48.839597,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,252.00101099999998,0.0,53.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,252.09251099999997,0.0,54.0195,0.0,0.0,0.0,0.0,0.0,78.9045,0.0
2024-03-06,252.764511,0.0,53.9805,48.869597,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,252.87851099999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.885,0.0
2024-03-08,0.0,106.1475,54.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,253.292511,105.99749999999999,53.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,53.961000000000006,0.0,0.0,600.987617,0.0,0.0,78.93,0.0
2024-03-13,253.41701099999997,0.0,53.9505,48.868097,0.0,0.0,0.0,0.0,78.93299999999999,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.95100000000001,0.0
2024-03-15,253.40201100000002,0.0,53.9445,48.908597,0.0,0.0,0.0,0.0,78.9615,0.0
2024-03-19,253.684011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.984,0.0
2024-03-21,253.783011,105.9045,0.0,0.0,0.0,0.0,0.0,0.0,79.044,0.0
2024-03-22,253.990011,0.0,53.7465,0.0,0.0,600.929117,0.0,0.0,0.0,0.0
2024-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.014,0.0
2024-03-26,254.011011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,0.0,48.905597,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.11449999999999,0.0
2024-04-03,252.334011,0.0,0.0,50.579597,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,50.575097,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,252.48701100000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.104,0.0
2024-04-09,252.29651099999998,0.0,53.80200000000001,0.0,0.0,0.0,0.0,0.0,79.119,0.0
2024-04-10,252.478011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,252.328011,0.0,53.790000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,252.33101100000002,0.0,0.0,50.57209700000001,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,252.29651099999998,105.90299999999999,0.0,0.0,0.0,0.0,0.0,0.0,79.155,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1805,0.0
2024-04-19,0.0,105.85199999999999,0.0,0.0,0.0,0.0,0.0,0.0,79.1955,0.0
2024-04-22,0.0,0.0,0.0,50.581097,0.0,0.0,0.0,0.0,79.3875,0.0
2024-04-23,0.0,106.01700000000001,53.7705,50.575097,0.0,0.0,0.0,0.0,79.41749999999999,0.0
2024-04-24,248.269011,106.01849999999999,0.0,50.58559700000001,0.0,0.0,0.0,0.0,79.4145,0.0
2024-04-25,0.0,106.0275,53.781,0.0,0.0,0.0,0.0,0.0,79.5945,0.0
2024-04-26,0.0,106.1265,0.0,51.139097,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,0.0,53.7795,51.424097,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,248.254011,106.125,53.745,51.763097,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,106.09349999999999,54.622499999999995,52.243097000000006,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,54.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,105.55799999999999,55.176,52.64509699999999,0.0,0.0,0.0,0.0,79.5885,135.5865
2024-05-07,248.119011,105.552,55.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.0,0.0,55.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,105.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,105.57000000000001,55.203,52.619597,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,0.0,0.0,52.649597,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,247.291011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.124,0.0
2024-05-16,247.27151100000003,0.0,55.0995,0.0,0.0,0.0,0.0,0.0,0.0,135.21
2024-05-17,247.45451100000002,105.55499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,0.0,105.57600000000001,55.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,105.56099999999999,54.793499999999995,52.651097,59.980351,0.0,0.0,0.0,0.0,0.0
2024-05-24,247.453011,0.0,0.0,0.0,59.992351,0.0,0.0,0.0,80.097,0.0
2024-05-29,0.0,105.77099999999999,0.0,52.628597,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,0.0,105.75000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04,0.0,0.0,54.7965,0.0,59.99835100000001,0.0,0.0,0.0,0.0,0.0
2024-06-05,0.0,0.0,54.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,0.0,0.0,54.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07,0.0,105.75300000000001,54.830999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,247.451511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,247.59551100000002,0.0,55.1385,0.0,0.0,0.0,0.0,600.4335,80.74799999999999,0.0
2024-06-13,0.0,0.0,55.1865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,0.0,0.0,55.2315,0.0,0.0,0.0,0.0,600.435,0.0,0.0
2024-06-17,0.0,0.0,55.230000000000004,0.0,0.0,0.0,0.0,0.0,80.75099999999999,0.0
2024-06-18,0.0,105.543,0.0,52.64659699999999,0.0,0.0,0.0,0.0,80.7645,0.0
2024-06-19,0.0,105.55799999999999,0.0,0.0,0.0,0.0,0.0,0.0,80.769,0.0
2024-06-20,0.0,0.0,55.2315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.898,0.0
2024-06-24,247.592511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.021,0.0
2024-06-26,0.0,105.543,0.0,52.706597,0.0,0.0,0.0,0.0,81.081,0.0
2024-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2055,0.0
2024-06-28,0.0,0.0,0.0,52.676597,0.0,0.0,0.0,0.0,81.3855,0.0
2024-07-02,0.0,105.552,0.0,0.0,0.0,0.0,0.0,0.0,81.39,0.0
2024-07-08,0.0,105.252,0.0,0.0,0.0,0.0,0.0,0.0,81.5475,0.0
