date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,HANG SENG SECURITIES LTD,LUEN FAT SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,SDICS INTERNATIONAL SECURITIES (HONG,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-07,200330000.0,178313420.0,59900100.0,0.0,83736000.0,0.0,0.0,0.0,0.0,38318000.0
2024-03-28,199594000.0,177181420.0,58932100.0,0.0,84730000.0,0.0,0.0,0.0,0.0,38368000.0
2024-05-14,199880000.0,176077420.0,61584100.0,0.0,84386000.0,0.0,0.0,0.0,0.0,34598000.0
2024-06-04,201028000.0,176459420.0,63600100.0,0.0,84524000.0,0.0,0.0,0.0,0.0,35586000.0
2024-06-21,198632000.0,176881420.0,64000100.0,0.0,85658000.0,0.0,0.0,0.0,0.0,35244000.0
2024-07-12,199008000.0,178717420.0,66452100.0,0.0,0.0,0.0,868000.0,0.0,0.0,34922000.0
2024-08-19,199570000.0,174237420.0,70270100.0,0.0,90103600.0,0.0,0.0,0.0,0.0,34772000.0
2024-09-05,212246000.0,0.0,72610100.0,0.0,90185600.0,0.0,0.0,57753000.0,0.0,36018000.0
2024-10-02,213598000.0,171437420.0,73096100.0,0.0,90885600.0,0.0,0.0,57695000.0,41356000.0,0.0
2024-10-03,212986000.0,171399420.0,73204100.0,0.0,91533600.0,0.0,0.0,0.0,41046000.0,0.0
2024-10-07,214090000.0,170529420.0,73630100.0,0.0,93249600.0,0.0,0.0,0.0,41038000.0,37018000.0
2024-10-08,213590000.0,0.0,74334100.0,0.0,93221600.0,0.0,0.0,57701000.0,0.0,36718000.0
2024-10-09,213390000.0,170755420.0,74008100.0,0.0,92725600.0,40984000.0,0.0,57735000.0,40788000.0,0.0
2024-10-15,213666000.0,177359420.0,73204100.0,0.0,93725600.0,0.0,0.0,0.0,41048000.0,35718000.0
2024-10-17,213646000.0,177327420.0,73592100.0,0.0,94325600.0,0.0,0.0,0.0,41018000.0,0.0
2024-10-23,212766000.0,178237420.0,73438100.0,0.0,0.0,0.0,0.0,0.0,40838000.0,36418000.0
2024-10-30,212572000.0,175453420.0,73438100.0,0.0,94045600.0,0.0,0.0,0.0,40698000.0,37484000.0
2024-11-01,211896000.0,175261420.0,73740100.0,0.0,0.0,0.0,0.0,0.0,40670000.0,37592000.0
2024-11-05,211726000.0,177813420.0,73356100.0,0.0,93945600.0,0.0,0.0,0.0,40620000.0,0.0
2024-11-08,210866000.0,180321420.0,72872100.0,0.0,94391600.0,40964000.0,0.0,0.0,40370000.0,37652000.0
2024-11-12,211164000.0,181899420.0,72939900.0,0.0,92773600.0,0.0,960000.0,0.0,39370000.0,37462000.0
2024-11-13,211963000.0,184993420.0,72771900.0,0.0,92823600.0,0.0,868000.0,0.0,0.0,0.0
2024-11-14,211905000.0,185185420.0,72733900.0,0.0,92673600.0,0.0,0.0,0.0,0.0,38252000.0
2024-12-06,210883000.0,185587420.0,79657900.0,0.0,90373600.0,0.0,0.0,57687000.0,0.0,0.0
2024-12-10,210983000.0,185685420.0,82805900.0,0.0,88103600.0,0.0,344994000.0,0.0,0.0,38118000.0
2024-12-18,209361000.0,185515420.0,83645900.0,0.0,88871600.0,0.0,0.0,0.0,0.0,38058000.0
2025-01-10,210365000.0,185911420.0,86227900.0,0.0,87809600.0,0.0,0.0,0.0,0.0,38046000.0
2025-01-20,209621000.0,185983420.0,87097900.0,0.0,85489600.0,0.0,0.0,0.0,0.0,38048000.0
2025-04-29,209195000.0,184331420.0,97843900.0,47762000.0,0.0,0.0,0.0,0.0,0.0,39556000.0
