date,THE HONGKONG AND SHANGHAI BANKING,CNCB (HONG KONG) CAPITAL LTD,EMPEROR SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GET NICE SECURITIES LTD,GREAT BAY SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,QUAM SECURITIES LTD,VALUABLE CAPITAL LTD,ZHESHANG INTERNATIONAL FINANCIAL
2024-03-01,90201.12977433031,0.0,0.0,14043.93512709367,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,14058.193953307096,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,90199.34742105364,0.0,0.0,14093.841018840663,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,14100.970431947375,0.0,0.0,60855.38389513108,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,14115.229258160802,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,90197.68389132874,0.0,0.0,14079.582192627237,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,14065.32336641381,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,90190.55447822202,0.0,0.0,14022.546887773533,0.0,0.0,60513.17206600886,0.0,0.0,0.0
2024-03-18,90183.42506511531,0.0,0.0,14250.688107188349,0.0,0.0,60064.01904028594,0.0,0.0,0.0
2024-03-19,90197.68389132874,0.0,0.0,14571.511696990436,0.0,0.0,59308.30125097435,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,14535.864631456872,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.0,14207.911628548072,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,0.0,0.0,14122.358671267515,0.0,0.0,59222.74829369379,0.0,0.0,0.0
2024-03-26,90034.54913591513,0.0,0.0,14136.617497480942,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,88965.13716990818,0.0,0.0,14093.841018840663,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,0.0,0.0,13936.993930492974,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,89179.01956310957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,89169.55087073898,0.0,0.0,0.0,0.0,0.0,59080.160031559535,0.0,0.0,0.0
2024-04-08,89167.47145858286,0.0,0.0,13887.088038745984,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,89153.21263236944,0.0,0.0,13944.123343599687,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,13801.535081465428,0.0,0.0,59065.901205346105,0.0,0.0,0.0
2024-04-11,86657.91804501988,0.0,0.0,13544.876209623757,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,86729.212176087,0.0,0.0,13402.287947489494,0.0,0.0,59008.8659004924,0.0,0.0,0.0
2024-04-15,86800.50630715412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.1291089184206,0.0
2024-04-18,87684.55353238655,0.0,0.0,12111.864175174433,0.0,0.0,0.0,0.0,980.0115021198122,0.0
2024-04-19,88753.9654983935,0.0,320.6750603623643,12518.240722257078,0.0,0.0,0.0,0.0,1151.1174166809255,0.0
2024-04-22,88718.28135991178,0.0,0.0,12311.487742162399,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,88889.3872744729,0.0,0.0,12275.840676628834,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,87672.96086902793,0.0,762.6986729785738,12354.264220802675,0.0,0.0,0.0,0.0,1136.8585904674994,0.0
2024-04-25,87744.25500009506,0.0,1333.051721515618,36465.939347706226,368706.0696258484,0.0,0.0,0.0,1065.5644594003688,0.0
2024-04-26,88063.89035437936,0.0,0.0,36508.71582634651,344901.7171191468,0.0,0.0,0.0,0.0,9617.578280955913
2024-04-29,88149.44331165992,0.0,22856.74989068233,42640.011098119736,290875.02459647524,0.0,0.0,0.0,24870.67482271526,0.0
2024-04-30,88192.2197903002,0.0,39560.964799711015,43046.387645202376,0.0,0.0,0.0,0.0,25170.11017319721,20604.00387840073
2024-05-02,88356.1962917546,0.0,0.0,42932.31703549497,0.0,0.0,0.0,0.0,25141.592520770355,0.0
2024-05-03,88413.08306716858,0.0,39568.094212817734,43103.42295005608,0.0,0.0,0.0,0.0,25070.298389703225,0.0
2024-05-06,88405.95365406186,0.0,0.0,43046.387645202376,0.0,0.0,0.0,0.0,25041.780737276375,0.0
2024-05-07,0.0,0.0,0.0,43024.99940588224,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.0,0.0,0.0,42925.18762238826,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,88405.32317629612,0.0,0.0,42932.31703549497,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,88626.33498260424,0.0,0.0,42832.505252000985,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,89104.00566075402,0.0,0.0,42718.43464229358,0.0,0.0,0.0,0.0,24863.54540960855,0.0
2024-05-14,89108.4615439457,0.0,0.0,42661.39933743988,0.0,0.0,58987.47766117226,0.0,24827.89834407498,0.0
2024-05-16,88987.26152113159,0.0,0.0,42582.97579326603,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,88973.00269491816,0.0,0.0,42575.84638015932,0.0,0.0,58830.63057282458,38187.91029772429,0.0,0.0
2024-05-20,88915.96739006446,0.0,0.0,42369.09340006464,0.0,0.0,0.0,0.0,24856.415996501833,0.0
2024-05-21,90113.70879199225,0.0,0.0,42340.575747637784,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,90676.63536854312,0.0,39560.964799711015,41927.06978744843,0.0,0.0,0.0,0.0,26239.522139204168,0.0
2024-05-23,0.0,0.0,0.0,41969.84626608871,0.0,0.0,0.0,38187.01912108595,0.0,0.0
2024-05-24,0.0,0.0,39625.12951767144,42725.56405540029,0.0,0.0,0.0,0.0,26146.8397688169,0.0
2024-05-27,0.0,0.0,0.0,42868.15231753456,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,0.0,43630.99951995285,0.0,0.0,0.0,0.0,26660.15751250024,0.0
2024-05-30,90676.18978022395,0.0,0.0,43673.775998593126,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,90675.59566246507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,90556.77211068652,0.0,0.0,43887.65839179452,0.0,0.0,0.0,0.0,26638.7692731801,0.0
2024-06-04,0.0,0.0,0.0,44286.90552577045,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05,90699.36037282078,0.0,0.0,43730.81130344683,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,0.0,0.0,0.0,44187.09374227647,0.0,0.0,0.0,0.0,27351.710583851407,34256.82997775623
2024-06-07,92879.53490085363,0.0,0.0,44436.623201011425,0.0,0.0,0.0,0.0,27344.581170744692,0.0
2024-06-11,0.0,0.0,0.0,44479.3996796517,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,93642.38210327193,0.0,0.0,44814.48209566722,0.0,0.0,0.0,0.0,27480.04001977224,0.0
2024-06-13,97962.80644594003,0.0,0.0,46097.776454875566,0.0,0.0,0.0,0.0,27515.687085305803,47717.16192323048
2024-06-14,98397.70064544954,0.0,0.0,46026.482323808435,0.0,0.0,0.0,0.0,27658.275347440063,48308.903211087665
